"genes","ERR2984230","ERR2984231","ERR2984232","ERR2984233","ERR2984242","ERR2984243","ERR2984244","ERR2984245"
"LGR5|LGR5",74,59,162,24,165,121,93,104
"PTPRB|PTPRB",1445,610,1006,361,2774,883,646,980
"ZFC3H1|ZFC3H1",2195,1590,1077,1104,5270,2050,1984,2657
"TMEM19|TMEM19",1210,965,1437,756,2477,1180,1105,1223
"RAB21|RAB21",1719,1510,1763,1526,3875,1714,1765,1807
"TBC1D15|TBC1D15",1205,826,1066,780,2657,1405,1162,1511
"TRHDE|TRHDE",2239,1661,2231,1153,5325,2128,2382,3003
"CAPS2|CAPS2",45,20,34,0,93,35,34,27
"CCDC107|CCDC107",464,369,494,263,820,340,429,453
"GLIPR1L|GLIPR1L",290,116,168,72,337,211,192,199
"KRR1|KRR1",488,352,431,297,803,439,474,447
"PHLDA1|PHLDA1",193,111,156,83,303,165,132,114
"ZDHHC17|ZDHHC17",299,226,216,154,565,201,247,340
"BBS10|BBS10",61,46,60,77,118,102,90,71
"OSBPL8|OSBPL8",1333,991,1347,734,2552,924,942,1051
"E2F7|E2F7",13,23,16,10,9,0,7,11
"CTSEAL|CTSEAL",106558,65393,103200,67398,188932,91623,108154,85952
"CSRP2|CSRP2",315,177,314,150,507,252,218,219
"NAV3|NAV3",106,31,37,31,111,68,69,70
"PPP1R12A|PPP1R12A",897,553,707,434,1662,827,665,782
"LIN7A|LIN7A",15,15,5,6,23,17,26,13
"LOC101749704|LOC101749704",9,11,19,5,33,30,75,28
"RPS16|RPS16",5096,6702,6293,7610,10701,6324,7190,6817
"ACSS3|ACSS3",1391,1057,1860,1178,3258,1642,1149,1390
"METTL25|METTL25",90,119,135,67,181,96,49,78
"CCDC59|CCDC59",239,238,270,253,422,270,244,224
"PPFIA2|PPFIA2",27,23,23,12,85,22,34,28
"RASSF9|RASSF9",230,231,263,102,773,332,457,352
"TMTC2|TMTC2",245,162,264,139,467,197,120,252
"DUSP6|DUSP6",357,137,259,127,617,289,247,250
"POC1B|POC1B",200,138,180,131,458,212,182,251
"GALNT4|GALNT4",420,210,293,221,840,472,404,466
"LOC107052879|LOC107052879",251,231,257,298,337,213,302,199
"CEP290|CEP290",92,18,80,14,156,104,117,114
"ATP2B1|ATP2B1",1574,515,924,556,2560,1036,968,1532
"LUM|LUM",595,350,539,233,707,397,381,234
"BTG1|BTG1",8308,7242,8265,6750,15621,7364,9844,8492
"EEA1|EEA1",852,620,742,448,1993,897,669,891
"NUDT4|NUDT4",4105,3178,2956,2924,7792,2505,2252,2563
"UBE2N|UBE2N",1195,946,1305,995,2513,1085,1168,1073
"LOC107052984|LOC107052984",881,480,724,606,1860,1364,766,914
"MRPL42|MRPL42",408,385,433,500,698,421,384,404
"SOCS2|SOCS2",448,141,777,388,868,967,565,385
"CRADD|CRADD",470,351,562,320,857,485,558,437
"CEP83|CEP83",98,84,72,71,142,55,104,68
"PLXNC1|PLXNC1",1372,415,791,468,2495,1157,914,1103
"TMCC3|TMCC3",194,106,139,56,230,100,194,92
"SNAPC3|SNAPC3",243,204,230,255,425,223,232,266
"NDUFA12|NDUFA12",1253,1587,1593,1578,1996,1046,1028,865
"NR2C1|NR2C1",430,342,401,389,1021,406,383,458
"VEZT|VEZT",575,432,481,384,1136,401,623,655
"FGD6|FGD6",559,262,435,277,1333,491,666,539
"LOC107052983|LOC107052983",31,55,19,17,124,65,49,95
"LOC112533391|LOC112533391",66,46,37,29,76,34,26,56
"LOC101751743|LOC101751743",28,8,13,8,20,29,6,5
"METAP2|METAP2",1290,932,1467,753,2465,1040,989,1160
"NTN4|NTN4",22,25,13,16,24,29,15,15
"USP44|USP44",1325,912,849,743,3223,1134,1365,1657
"ELK3|ELK3",178,190,187,113,494,234,190,127
"LTA4H|LTA4H",1715,873,1516,1011,3364,1454,1285,1835
"AMDHD1|AMDHD1",4452,2978,5062,3511,7803,3554,3212,4810
"HAL|HAL",6065,3405,5206,3401,10141,4705,5403,5302
"CDK17|CDK17",845,651,753,565,1783,755,765,717
"NEDD1|NEDD1",617,382,571,332,1215,488,430,421
"TMPO|TMPO",667,506,686,404,1339,752,597,659
"APAF1|APAF1",516,292,387,211,847,459,372,443
"IKBIP|IKBIP",373,262,311,232,614,204,242,231
"SLC25A3|SLC25A3",9611,6789,9880,7968,18465,8558,9986,8993
"LOC112531638|LOC112531638",23,14,4,12,59,15,20,21
"UHRF1BP1L|UHRF1BP1L",1152,889,1283,704,2751,1157,1089,1084
"SLC17A8|SLC17A8",14,0,29,4,35,19,33,19
"SCYL2|SCYL2",1582,1100,1530,961,2984,1403,1527,1710
"NR1H4|NR1H4",1015,786,1085,1050,2533,1343,1350,1351
"ANO4|ANO4",6,3,18,20,39,22,15,17
"UTP20|UTP20",718,486,816,359,1310,343,415,490
"ARL1|ARL1",2239,1674,2502,2052,3924,1683,2022,1686
"NUP205|NUP205",1122,641,991,410,2421,966,1160,1330
"LOC417937|LOC417937",30,13,0,8,47,7,13,36
"CNOT4|CNOT4",303,282,447,185,853,250,267,306
"C7orf49|C7orf49",44,19,27,31,73,35,56,31
"WDR91|WDR91",433,375,383,305,716,428,375,352
"ARHGDIB|ARHGDIB",524,380,419,429,722,488,413,295
"OC3|OC3",13,0,6,16,22,9,24,15
"MGP|MGP",291,402,527,388,684,349,417,216
"HISTH1|HISTH1",114,61,67,60,139,149,113,90
"HIST1H2B7|HIST1H2B7",25,43,42,32,52,53,86,29
"WBP11|WBP11",1134,656,1027,546,2044,745,931,715
"HIST1H2A3|HIST1H2A3",32,90,53,74,56,67,40,37
"HIST1H3G|HIST1H3G",4,5,11,11,8,13,10,10
"HIST1H4D|HIST1H4D",156,253,284,285,329,384,400,234
"HIST1H3A|HIST1H3A",7,8,19,16,18,18,18,9
"HISTH2A4L1|HISTH2A4L1",20,45,38,45,50,84,38,30
"HIST1H2B8|HIST1H2B8",45,86,76,71,108,106,93,63
"HIST1H46|HIST1H46",86,136,182,141,218,258,251,180
"HIST2H4B|HIST2H4B",104,176,200,184,295,298,289,186
"H2AFJ|H2AFJ",40,72,78,59,92,104,71,49
"HIST1H2BF|HIST1H2BF",93,103,114,92,170,143,146,103
"HIST1H110|HIST1H110",284,256,434,331,525,623,653,238
"HIST1H4B|HIST1H4B",57,85,129,91,163,181,187,119
"HIST2H3D|HIST2H3D",5,7,21,10,18,30,8,10
"HIST1H4I|HIST1H4I",99,167,220,180,280,307,272,167
"HIST1H103|HIST1H103",9,5,7,12,21,11,15,13
"GPRC5A|GPRC5A",665,764,932,623,1687,562,871,700
"HIST1H2A4|HIST1H2A4",46,97,73,76,105,137,115,71
"HIST2H3|HIST2H3",9,6,14,13,10,11,11,12
"HIST1H2A4L1|HIST1H2A4L1",19,22,37,27,36,55,23,27
"HIST1H46L6|HIST1H46L6",58,111,92,120,113,119,121,64
"HIST1H101|HIST1H101",793,353,459,349,1097,1148,996,996
"HIST1H2B7L2|HIST1H2B7L2",94,116,99,111,170,133,204,109
"HIST1H2A4L2|HIST1H2A4L2",66,127,117,87,148,152,228,110
"HIST1H111L|HIST1H111L",10,12,23,15,27,40,22,14
"HIST1H2A4L3|HIST1H2A4L3",49,76,82,87,73,114,126,46
"HIST1H2B5|HIST1H2B5",17,38,32,48,41,43,51,40
"HIST1H3H|HIST1H3H",5,14,22,25,21,23,29,16
"LOC100857439|LOC100857439",8,11,34,22,27,24,36,24
"HIST1H2B7L4|HIST1H2B7L4",42,32,41,38,57,49,63,35
"HIST1H2A4L4|HIST1H2A4L4",72,131,108,153,156,191,97,95
"HIST1H111R|HIST1H111R",34,35,32,28,66,61,57,34
"APOLD1|APOLD1",59,21,96,41,88,54,24,26
"DDX47|DDX47",691,566,1008,537,1708,529,492,433
"HEBP1|HEBP1",8682,5968,10021,6635,18614,7281,5918,6160
"FAM234B|FAM234B",1779,1622,1343,918,3887,1211,1608,1642
"GUCY2C|GUCY2C",53,13,23,11,97,23,61,35
"TTC26|TTC26",53,42,33,22,67,43,97,51
"ATF7IP|ATF7IP",1196,635,962,558,2413,896,1185,1100
"PLBD1|PLBD1",1374,644,874,782,2502,1185,1072,1100
"SOCS1L|SOCS1L",88,49,49,51,74,49,44,49
"NFAM1|NFAM1",64,16,43,28,131,75,83,79
"UBN2|UBN2",989,820,542,485,2132,702,1042,1048
"GBE|GBE",150,81,156,56,182,92,140,64
"FMC1|FMC1",64,106,168,85,203,235,168,79
"LUC7L2|LUC7L2",1724,1288,1808,1176,3578,1250,1134,1068
"LOC417973|LOC417973",143,106,320,95,200,118,258,103
"POLDIP3|POLDIP3",942,684,854,574,1814,851,834,797
"RRP7A|RRP7A",360,440,647,430,528,337,357,303
"TCF20|TCF20",862,564,739,413,1677,691,918,943
"CYP2D6|CYP2D6",13176,6473,17289,6837,26098,10329,12869,13034
"WBP2NL|WBP2NL",1312,890,1480,841,2662,1215,1213,1001
"NDUFA6|NDUFA6",663,727,723,809,1129,673,698,639
"FAM109B|FAM109B",954,670,879,521,1810,649,804,794
"NAGA|NAGA",1313,1086,1620,1004,2540,1087,1074,1025
"CCDC134|CCDC134",389,473,500,608,795,506,409,381
"MEI1|MEI1",106,39,35,34,187,59,158,110
"SNU13|SNU13",402,226,408,217,696,383,271,380
"XRCC6|XRCC6",251,195,289,165,470,198,196,165
"SREBF2|SREBF2",7449,6188,9259,5549,16862,4423,4229,6448
"PMM1|PMM1",1249,967,1607,1108,3434,1247,872,718
"DESI1|DESI1",7321,4489,6593,4800,15117,5545,6847,5458
"ACO2|ACO2",5436,3561,5105,3326,9949,3584,3471,3241
"PHF5A|PHF5A",501,509,615,583,1006,513,595,458
"LOC112533440|LOC112533440",69,123,86,97,158,102,78,30
"TOB2|TOB2",2286,1749,2086,1422,5974,1833,1307,912
"LOC101748546|LOC101748546",641,516,645,544,1259,518,467,404
"TEF|TEF",367,169,372,128,827,382,243,258
"ZC3H7B|ZC3H7B",3193,1945,2669,1411,6023,2589,2937,3123
"RANGAP1|RANGAP1",1959,1262,2167,1426,4121,1738,1879,2125
"CHADL|CHADL",276,225,145,203,583,235,363,234
"L3MBTL2|L3MBTL2",275,270,307,207,514,256,286,238
"LOC101749129|LOC101749129",61,99,78,124,218,71,156,83
"RBX1|RBX1",553,647,672,733,874,513,575,530
"XPNPEP3|XPNPEP3",317,165,304,170,691,272,282,277
"MKL1|MKL1",711,348,522,255,1128,488,455,447
"SGSM3|SGSM3",292,264,322,171,602,226,224,174
"GRAP2|GRAP2",98,63,66,82,115,136,144,105
"TNRC6B|TNRC6B",1696,1538,1152,1083,3515,1145,1545,1674
"ADSL|ADSL",10942,11142,11260,11593,38166,18278,19758,9657
"TAB1|TAB1",238,154,183,166,362,184,186,131
"SYNGR1|SYNGR1",1363,1000,1451,662,2748,929,1172,851
"LOC107053686|LOC107053686",91,19,13,39,59,74,189,82
"MGAT3|MGAT3",443,212,282,153,699,318,273,378
"ATF4|ATF4",18702,18289,17205,18493,27462,12774,15956,10968
"MIEF1|MIEF1",850,666,700,605,1391,628,471,538
"PDGFB|PDGFB",44,21,45,15,85,35,44,24
"CBX7|CBX7",578,198,283,139,848,423,523,749
"RPL3|RPL3",15594,17676,18679,18526,37266,21751,24301,18749
"CBX6|CBX6",460,117,253,59,899,289,194,231
"NPTXR|NPTXR",3705,3223,4091,2682,6411,2324,1903,1705
"JOSD1|JOSD1",833,652,786,548,1834,814,1001,822
"CBY1|CBY1",51,67,49,86,98,37,20,16
"KCNJ4|KCNJ4",7,50,31,9,59,35,0,15
"LOC101747255|LOC101747255",7,23,22,0,45,27,31,13
"CSNK1E|CSNK1E",304,159,251,42,566,258,179,206
"DDX17|DDX17",8084,5616,5307,4014,16770,6710,8200,8580
"KDELR3|KDELR3",36,21,50,11,52,24,22,16
"TMEM184B|TMEM184B",1452,1309,1714,988,3778,1218,1210,1287
"MAFF|MAFF",247,236,243,226,510,174,122,181
"PLA2G6|PLA2G6",565,494,263,345,931,358,234,382
"BAIAP2L2|BAIAP2L2",254,224,206,194,608,231,263,215
"PICK1|PICK1",250,241,286,185,488,245,277,208
"POLR2F|POLR2F",601,938,782,978,1225,660,1103,772
"MICALL1|MICALL1",346,210,261,197,647,205,262,236
"ANKRD54|ANKRD54",470,543,515,553,916,452,517,417
"DNAL4|DNAL4",444,302,296,331,665,361,463,415
