"genes","ERR2984230","ERR2984231","ERR2984232","ERR2984233","ERR2984242","ERR2984243","ERR2984244","ERR2984245"
"LOC107053443|LOC107053443",177,58,65,45,369,116,340,226
"DCAF4|DCAF4",354,446,348,382,734,380,441,391
"RBM25|RBM25",1654,1041,1154,748,2745,897,1265,1453
"ZFYVE1|ZFYVE1",929,454,498,350,1829,699,752,1021
"DPF3|DPF3",163,175,174,127,531,189,131,159
"RGS6|RGS6",47,11,23,14,67,40,16,18
"SIPA1L1|SIPA1L1",212,84,176,83,462,113,159,204
"MAP3K9|MAP3K9",197,96,105,88,327,103,189,183
"TTC9|TTC9",34,38,30,35,47,19,39,19
"LOC100857840|LOC100857840",14,17,7,13,15,18,24,6
"MED6|MED6",1114,725,1250,930,2090,989,1017,1059
"SLC8A3|SLC8A3",66,87,71,66,126,36,37,72
"SMOC1|SMOC1",64,47,67,6,162,34,22,78
"COX16|COX16",101,86,119,104,122,125,114,66
"SRSF5|SRSF5",2844,3239,1346,2429,5585,2016,1706,2066
"SUSD6|SUSD6",1784,1302,1636,890,4414,1555,2255,2001
"GALNT16|GALNT16",141,147,234,109,515,104,221,140
"PLEKHD1|PLEKHD1",201,189,101,106,408,83,226,193
"SLC39A9|SLC39A9",3117,2048,3955,2082,6353,2717,3059,2860
"ERH|ERH",1733,1415,1880,1504,2789,1395,1425,1374
"EXD2|EXD2",598,413,499,390,1192,496,603,556
"ACTN1|ACTN1",897,457,1016,374,1943,635,492,554
"LOC112532527|LOC112532527",25,12,7,5,30,17,16,16
"LOC107053484|LOC107053484",23,30,14,21,69,51,58,27
"SRSF5A|SRSF5A",5810,4072,4594,3846,10436,4615,5244,5197
"ZFP36L1|ZFP36L1",3043,1600,5217,966,8032,3222,2088,1693
"RAD51B|RAD51B",533,433,498,483,1067,565,663,516
"LOC101749146|LOC101749146",61,47,53,67,148,45,70,82
"LOC101749472|LOC101749472",7,0,36,8,27,15,29,0
"PLEKHH1|PLEKHH1",93,30,36,31,138,57,25,25
"TMEM229B|TMEM229B",1745,1048,1330,1144,3919,1315,1791,1111
"PIGH|PIGH",556,80,429,428,1159,477,993,667
"ARG2|ARG2",26,23,12,13,33,12,32,9
"VTI1B|VTI1B",411,430,414,450,731,496,503,308
"ZFYVE26|ZFYVE26",1213,762,705,650,2342,771,1119,1114
"RDH12|RDH12",576,437,1280,522,1572,840,214,590
"MPP5|MPP5",496,311,430,245,937,416,413,484
"EIF2S1|EIF2S1",1479,1381,2052,1438,2927,1135,1064,1135
"ATP6V1D|ATP6V1D",1862,1394,2055,1699,3306,1517,1507,1562
"GPHN|GPHN",1846,1312,2117,935,4349,1465,1947,2017
"GPR176|GPR176",22,27,17,20,40,9,16,5
"THBS1|THBS1",249,80,171,55,403,241,234,191
"EIF2AK4|EIF2AK4",1673,1247,1473,872,3496,1413,1655,1609
"SRP14|SRP14",745,985,1266,1088,1357,623,457,580
"LOC107053492|LOC107053492",69,49,55,22,165,68,58,57
"KATNBL1|KATNBL1",298,227,295,188,523,254,246,205
"LOC112532477|LOC112532477",115,122,56,67,219,62,96,54
"AVEN|AVEN",221,201,222,224,495,278,200,180
"FMN1|FMN1",21,0,18,0,18,11,13,6
"RYR3|RYR3",29,20,19,20,59,33,41,58
"LOC112532478|LOC112532478",31,34,47,20,62,42,42,41
"RASGRP1|RASGRP1",177,70,106,50,186,185,113,156
"ARHGAP11A|ARHGAP11A",1487,1295,1272,927,3222,969,1111,1183
"SPRED1|SPRED1",664,522,704,446,1517,645,594,682
"LOC112532485|LOC112532485",97,80,102,67,184,115,92,68
"LOC107053499|LOC107053499",36,24,20,16,73,41,22,41
"MEIS2|MEIS2",181,62,107,60,349,128,132,135
"LOC107053500|LOC107053500",47,18,17,8,94,48,24,47
"C5H15orf41|C5H15orf41",381,278,431,221,785,280,344,364
"DPH6|DPH6",282,146,222,177,529,158,129,226
"LOC107053502|LOC107053502",37,23,0,3,55,21,13,34
"AQR|AQR",1069,822,1293,681,2536,895,1059,1170
"STXBP6|STXBP6",740,534,320,207,1349,487,515,780
"NOVA1|NOVA1",112,34,57,21,164,101,49,116
"FOXG1|FOXG1",6,0,11,13,31,9,8,26
"PRKD1|PRKD1",265,148,183,139,444,177,215,262
"G2E3|G2E3",465,178,275,249,1015,408,495,494
"LOC107053509|LOC107053509",5,102,0,0,26,8,12,10
"SCFD1|SCFD1",1163,589,1110,619,1899,654,753,732
"LOC112532476|LOC112532476",57,43,45,44,124,38,41,51
"COCH|COCH",7421,5489,7393,4831,16336,5861,6623,8085
"LOC101748151|LOC101748151",183,116,102,62,623,179,153,245
"STRN3|STRN3",1416,1043,1249,955,2856,1289,1164,1172
"AP4S1|AP4S1",112,59,86,98,207,104,171,125
"LOC101748199|LOC101748199",10,26,21,29,27,11,29,27
"DTD2|DTD2",150,135,156,424,237,182,355,210
"NUBPL|NUBPL",281,209,303,340,509,218,322,267
"HECTD1|HECTD1",2946,1804,2276,1281,6611,2441,2905,3551
"LOC107053511|LOC107053511",123,43,51,93,146,63,126,153
"HEATR5A|HEATR5A",469,174,320,285,916,357,486,365
"ARHGAP5|ARHGAP5",901,544,898,444,1861,634,718,801
"LOC112532533|LOC112532533",39,36,15,42,95,37,49,22
"SPTSSA|SPTSSA",881,726,1011,961,1748,1160,769,901
"NPAS3|NPAS3",14,9,7,12,14,13,14,8
"EGLN3|EGLN3",4247,4164,4646,3512,10022,5136,4159,3827
"EAPP|EAPP",316,277,320,291,640,293,329,256
"SNX6|SNX6",1159,781,1223,744,2092,1254,971,1026
"CFL2|CFL2",1558,1396,1995,1178,2842,1240,1150,1215
"BAZ1A|BAZ1A",1375,841,1200,778,2556,1041,1005,1254
"SRP54|SRP54",2327,1486,2399,1372,3941,1910,1749,1995
"LOC100859161|LOC100859161",44,40,28,46,73,40,43,31
"PPP2R3C|PPP2R3C",384,354,440,252,648,260,295,253
"FAM177A1|FAM177A1",769,654,835,591,1782,833,581,597
"LOC107053514|LOC107053514",15,22,10,12,5,21,8,7
"MRPP3|MRPP3",424,324,511,363,978,339,317,363
"LOC112532558|LOC112532558",18,13,6,14,15,34,17,21
"PSMA6|PSMA6",2058,1535,2233,2005,3929,2005,1779,1678
"NFKBIA|NFKBIA",718,590,555,523,1260,768,900,1222
"BRMS1L|BRMS1L",660,458,628,550,1085,430,501,509
"SLC25A21|SLC25A21",263,225,333,252,604,264,236,256
"MIPOL1|MIPOL1",354,203,268,162,650,275,376,314
"FOXA1|FOXA1",1170,961,1444,1369,2959,968,968,899
"LOC101752122|LOC101752122",288,19,77,117,42,222,272,104
"LOC112532542|LOC112532542",110,35,157,156,93,122,201,64
"SSTR1|SSTR1",2160,606,1944,723,2779,2454,2538,1885
"TRAPPC6B|TRAPPC6B",167,229,234,173,329,159,247,179
"ZNF410|ZNF410",371,385,460,292,690,326,304,266
"FAM161B|FAM161B",91,50,57,42,150,53,65,66
"MIA2|MIA2",9218,4668,6872,3782,18068,11221,11738,12034
"FBXO33|FBXO33",683,491,532,605,1297,665,677,755
"PNN|PNN",1986,2230,1388,1488,4031,1375,1634,2062
"LOC107053516|LOC107053516",11,16,9,8,19,43,7,30
"LIN52|LIN52",1385,972,1326,703,2685,1167,1093,1195
"COQ6|COQ6",321,249,336,256,489,232,193,188
"ENTPD5|ENTPD5",2676,2088,3586,1748,6724,3060,3171,3380
"BBOF1|BBOF1",237,117,517,130,482,268,438,140
"ALDH6A1|ALDH6A1",13722,7518,11716,6247,38076,11107,10827,11901
"SYNDIG1L|SYNDIG1L",20,11,15,0,28,26,0,10
"ABCD4|ABCD4",2109,1466,1634,2476,3214,2025,3585,2043
"ACSS1L|ACSS1L",618,285,364,370,1100,919,934,1103
"LTBP2|LTBP2",23,12,19,14,35,18,16,16
"ISCA2|ISCA2",244,246,338,236,653,397,381,311
"NPC2|NPC2",3967,2774,4238,4581,6793,5377,4013,3067
"AREL1|AREL1",1096,735,860,636,2574,920,1233,1260
"FCF1|FCF1",647,845,1080,740,1406,670,572,559
"YLPM1|YLPM1",872,593,783,445,1560,496,817,727
"DLST|DLST",2893,2171,2801,1985,6591,2614,3165,2431
"RPS6KL1|RPS6KL1",81,150,139,131,214,111,86,89
"BATF|BATF",44,53,36,23,15,42,52,30
"ZC2HC1C|ZC2HC1C",1581,1985,1935,2078,2631,1196,1388,978
"NEK9|NEK9",2134,1543,2091,1236,4419,1460,1783,1707
"EIF2B2|EIF2B2",433,362,407,401,913,497,443,392
"MLH3|MLH3",592,467,588,382,1257,479,613,585
"ACYP1|ACYP1",75,99,74,168,155,101,132,76
"TMED10|TMED10",8484,6125,9085,5708,16677,7274,6421,5803
"FOS|FOS",213,97,549,74,251,323,70,214
"JDP2|JDP2",109,78,107,101,190,169,101,103
"TGFB3|TGFB3",238,366,381,173,493,229,161,112
"IFT43|IFT43",21,60,23,24,28,34,36,28
"TTLL5|TTLL5",903,738,1070,664,2430,761,542,560
"C5H14orf1|C5H14orf1",3604,5780,5433,7840,7657,4401,2892,2576
"GPATCH2L|GPATCH2L",159,44,84,24,631,147,240,257
"LOC112532504|LOC112532504",473,398,470,228,682,322,351,382
"LOC107053519|LOC107053519",156,104,81,89,306,150,249,163
"LOC107053520|LOC107053520",19,14,0,22,76,21,120,22
"ANGEL1|ANGEL1",3266,2172,2746,2116,6492,2363,3095,2830
"VASH1|VASH1",2092,1142,2107,435,3685,1802,2119,1460
"C5H14orf4|C5H14orf4",444,387,543,328,1018,533,470,334
"LOC112532559|LOC112532559",27,16,44,24,72,36,34,27
"CIPC|CIPC",491,321,332,211,1091,352,441,478
"TMEM63C|TMEM63C",139,89,318,42,288,92,131,216
"LOC772017|LOC772017",14,8,11,14,27,14,5,20
"TMED8|TMED8",1171,606,1107,901,2143,699,1440,1199
"NOXRED1|NOXRED1",19,20,6,12,46,10,15,27
"LOC107053522|LOC107053522",22,32,9,17,34,10,9,32
"VIPAS39|VIPAS39",1027,878,825,746,1840,678,951,734
"AHSA1|AHSA1",1600,1649,2007,1788,3436,1388,1668,1013
"LOC107053523|LOC107053523",17,9,10,3,25,8,8,16
"ADCK1|ADCK1",227,166,189,160,397,133,176,154
"SPTLC2|SPTLC2",426,192,368,184,728,242,209,366
"ALKBH1|ALKBH1",352,291,334,290,712,259,344,276
"SNW1|SNW1",1182,789,1118,774,2022,1105,941,875
"DIO2|DIO2",3021,3587,1919,15237,4848,3351,205,562
"CEP128|CEP128",60,34,50,19,69,54,44,34
"GTF2A1|GTF2A1",2102,1322,1976,1126,4283,1872,2207,2046
"STON2|STON2",2899,1663,2242,1092,4861,2102,1842,2246
"SEL1L|SEL1L",4877,2356,4175,2434,9803,3647,3467,3797
"FLRT2|FLRT2",127,43,65,39,217,84,72,117
"GALC|GALC",64,25,245,34,105,57,48,45
"GPR65|GPR65",239,59,118,98,387,212,145,196
"SPATA7|SPATA7",125,81,103,69,173,54,72,80
"PTPN21|PTPN21",1106,967,845,719,2261,1048,1460,1363
"ZC3H14|ZC3H14",1094,625,820,573,1981,680,824,711
"EML5|EML5",10,9,11,18,22,58,12,20
"TTC8|TTC8",173,108,220,111,319,238,208,214
"KCNK13|KCNK13",40,4,24,10,15,22,6,19
"TDP1|TDP1",92,57,129,39,132,100,79,85
"FOXN3|FOXN3",1557,1251,1366,1077,2760,1561,1496,1647
"LOC112532562|LOC112532562",17,13,7,10,18,4,10,15
"NRDE2|NRDE2",354,175,249,175,632,246,322,310
"PSMC1|PSMC1",2801,2819,3036,2780,5424,2061,2227,2211
"TTC7B|TTC7B",139,76,100,72,279,145,102,113
"CALM1|CALM1",6536,4534,6777,4130,12968,5889,5094,5545
"RPS6KA5|RPS6KA5",378,186,276,157,634,391,304,447
"C5H14orf159|C5H14orf159",773,490,783,632,1777,691,790,818
"GPR68|GPR68",17,7,11,19,49,29,16,16
"CCDC88C|CCDC88C",809,296,638,284,1327,655,444,721
"FBLN5|FBLN5",184,24,122,26,328,103,109,135
"TRIP11|TRIP11",3106,1959,2527,1499,5034,1772,1340,1817
"ATXN3|ATXN3",838,77,479,408,1668,719,693,844
"NDUFB1|NDUFB1",2687,2968,2784,3786,4894,2844,3243,3019
"CPSF2|CPSF2",744,565,796,461,1551,699,775,902
"SLC24A4|SLC24A4",368,85,186,104,508,284,195,246
"GOLGA5|GOLGA5",738,471,722,301,1447,565,563,552
"CHGA|CHGA",19,15,45,39,96,37,21,26
"LGMN|LGMN",5486,3190,4368,2879,12260,5829,4630,5270
"ITPK1|ITPK1",1025,456,570,417,1723,543,574,667
"TMEM251|TMEM251",201,152,176,122,401,269,182,236
"UBR7|UBR7",1747,1087,1828,960,3264,1422,1483,1453
"UNC79|UNC79",69,32,60,21,181,129,76,58
"ASB2|ASB2",72,42,71,43,131,81,63,102
"DDX24|DDX24",660,524,1000,480,890,220,241,370
"PPP4R4|PPP4R4",69,46,91,48,70,122,29,51
"SERPINA10|SERPINA10",5355,4025,6392,5254,11246,7326,7458,7132
"SPIA4|SPIA4",13939,4680,19026,7226,32489,21103,13499,15631
"SPIA1|SPIA1",15837,11216,20278,12436,33189,17865,14288,16696
"SPIA5|SPIA5",3121,1507,3860,2314,9609,5330,5246,7035
"DICER1|DICER1",371,100,312,70,586,228,266,304
"SPIA9|SPIA9",8225,4687,8960,4974,15434,7401,5940,7981
"SPIA3|SPIA3",3209,1988,2783,1906,2020,1689,6869,1731
"LOC112532519|LOC112532519",0,8,0,15,24,8,8,15
"SERPINA3/4L|SERPINA3/4L",16,10,32,0,22,52,52,10
"CLMN|CLMN",1896,1533,2308,1059,5108,1838,1258,2113
"C14orf132|C14orf132",92,262,47,10,154,24,41,65
"BDKRB1|BDKRB1",28,205,91,2,19,13,9,12
"SYNE3|SYNE3",1155,640,705,673,2478,1105,839,1160
"GLRX5|GLRX5",2118,1561,1933,2127,3326,1807,1989,1885
"GSKIP|GSKIP",299,197,320,230,631,305,317,253
"ATG2B|ATG2B",656,222,525,122,1323,559,628,770
"AK7|AK7",46,38,39,37,78,65,43,25
"VRK1|VRK1",90,78,87,41,139,67,87,66
"PAPOLA|PAPOLA",2920,2106,3028,1902,5737,2570,2429,2560
"BCL11B|BCL11B",50,22,21,13,58,39,21,37
"CCDC85C|CCDC85C",907,541,782,329,1812,603,1109,1031
"CCNK|CCNK",624,614,688,707,1293,601,569,344
"HHIPL1|HHIPL1",421,285,387,348,555,278,319,360
"CYP46A1|CYP46A1",2455,1261,1848,1480,4646,1650,1949,1851
"EML1|EML1",76,33,98,31,206,70,64,76
"EVL|EVL",296,174,360,157,545,382,211,289
"DEGS2|DEGS2",48,28,63,24,123,32,39,41
"YY2|YY2",1465,1040,1761,911,3256,1289,1427,1224
"SLC25A29|SLC25A29",3855,3668,1993,2732,7527,2679,2884,2814
"WARS|WARS",405,260,401,216,673,341,343,276
"SLC25A47|SLC25A47",3221,2005,1418,1990,4862,1207,1756,1785
"WDR25|WDR25",117,64,80,50,171,102,84,116
"LOC112532524|LOC112532524",14,12,21,8,29,31,153,164
"PPP2R5C|PPP2R5C",1763,980,1755,1269,3222,1980,2005,1740
"DYNC1H1|DYNC1H1",6701,4040,5429,2979,14279,4498,5328,6624
"WDR20|WDR20",810,533,695,385,1521,814,725,832
"MOK|MOK",27,45,11,22,42,29,16,19
"ZNF839|ZNF839",563,310,383,253,881,337,266,349
"CINP|CINP",80,81,95,76,152,76,96,72
"TECPR2|TECPR2",684,586,746,443,1766,635,659,835
"HSP90AA1|HSP90AA1",19715,13397,38692,8622,59747,14735,32902,12815
"RCOR1|RCOR1",1045,542,887,508,1917,794,833,752
"TRAF3|TRAF3",521,289,368,135,1130,416,412,361
"AMN|AMN",207,120,124,156,468,118,170,39
"LOC423474|LOC423474",207,139,167,70,318,135,104,119
"CDC42BPB|CDC42BPB",4347,2551,3720,2172,10410,4225,5298,4794
"EXOC3L4|EXOC3L4",1811,1271,2296,1235,5037,1638,1951,1450
"LOC107053556|LOC107053556",13,24,21,20,43,9,14,20
"EXOC3L|EXOC3L",18,21,8,15,35,26,28,28
"TNFAIP2|TNFAIP2",1330,588,1121,648,2834,1232,928,1127
"CKB|CKB",165,100,315,157,206,356,74,75
"EIF5|EIF5",10147,7899,9754,8202,22738,9192,10700,9458
"MARK3|MARK3",1427,1067,1246,898,2740,1102,1179,1024
"BAG5|BAG5",684,372,453,335,1182,604,486,779
"APOPT1|APOPT1",528,537,503,449,1006,503,505,404
"KLC1|KLC1",565,222,292,181,781,432,351,424
"XRCC3|XRCC3",517,388,607,426,1042,402,454,420
"ZFYVE21|ZFYVE21",835,544,738,684,1557,892,694,815
"C14orf2|C14orf2",1756,2029,1715,2604,2864,2019,2192,1876
"KIF26A|KIF26A",131,64,116,53,166,62,65,107
"ASPG|ASPG",1759,1114,1988,1210,4329,1773,2394,1497
"INF2|INF2",3088,919,1745,910,5292,2125,1338,2426
"LOC112532555|LOC112532555",221,33,15,12,853,253,459,373
"ADSSL1|ADSSL1",785,418,845,289,1906,600,623,762
"SIVA1|SIVA1",69,74,80,71,141,100,89,54
"AKT1|AKT1",1131,475,1092,269,2574,1052,1257,1069
"ZBTB42|ZBTB42",306,208,223,180,611,267,463,320
"PLD4|PLD4",42,15,41,29,63,51,40,33
"AHNAK2|AHNAK2",29,22,46,4,41,55,12,22
"CEP170B|CEP170B",926,450,551,333,1447,491,629,623
"CDCA4L|CDCA4L",516,353,562,338,1011,540,469,347
"CDCA4|CDCA4",325,299,260,253,621,366,329,270
"LOC101751553|LOC101751553",19,12,15,4,11,6,28,6
"JAG2|JAG2",73,58,104,35,149,138,45,57
"NUDT14|NUDT14",720,538,594,421,1519,951,1072,885
"LOC107053568|LOC107053568",71,48,30,52,137,58,54,23
"BTBD6|BTBD6",199,155,117,135,390,140,133,94
"HSPA2|HSPA2",1494,1483,2635,1076,2870,1270,3783,1802
"ZBTB25|ZBTB25",291,247,244,225,701,315,417,358
"ZBTB1|ZBTB1",941,771,908,602,1858,657,859,787
"MTHFD1|MTHFD1",17543,13119,18747,10364,37770,12952,11349,10910
"LOC112532491|LOC112532491",45,29,28,18,97,12,34,61
"WDR89|WDR89",365,192,188,189,609,242,258,355
"PPP2R5E|PPP2R5E",732,400,622,364,1280,723,629,675
"RHOJ|RHOJ",320,113,245,109,534,259,257,287
"LOC107053572|LOC107053572",28,10,7,0,66,19,19,17
"SNAPC1|SNAPC1",279,243,304,245,488,241,251,215
"HIF1A|HIF1A",1334,766,870,594,2262,867,702,809
"PRKCH|PRKCH",158,88,137,138,281,162,144,100
"SLC38A6|SLC38A6",1397,529,643,464,2559,964,1032,1222
"TRMT5|TRMT5",382,232,222,195,384,201,229,187
"SIX1|SIX1",10,5,17,8,39,27,11,4
"SIX4|SIX4",525,413,285,310,1288,445,709,668
"MNAT1|MNAT1",357,362,265,297,739,330,512,380
"PPM1A|PPM1A",3638,3306,4176,2753,8868,3113,2925,3081
"PCNX4|PCNX4",378,168,219,150,496,261,214,358
"JKAMP|JKAMP",312,205,230,166,491,333,309,289
"L3HYPDH|L3HYPDH",110,127,93,205,221,130,176,29
"KCNK4|KCNK4",195,110,153,110,321,142,129,112
"DAAM1|DAAM1",1163,717,845,608,2355,682,1209,1333
"DACT1|DACT1",148,89,87,40,216,78,75,38
"DHRS7|DHRS7",24603,21286,24401,26016,51138,28479,43340,24705
"LOC107053581|LOC107053581",30,8,8,8,34,16,33,24
"TA3|TA3",284,170,198,149,447,216,318,307
"TIMM9|TIMM9",241,286,305,245,548,320,452,372
"PSMA3|PSMA3",2230,2456,2804,2652,4546,2356,2264,1984
"LOC112532494|LOC112532494",20,13,9,9,59,30,15,14
"EXOC5|EXOC5",1029,768,1013,681,1903,954,865,795
"TMEM260|TMEM260",382,477,358,460,742,347,561,429
"PELI2|PELI2",168,159,128,138,490,237,320,311
"ATG14|ATG14",557,246,404,300,818,468,500,528
"KTN1|KTN1",1208,766,904,542,2273,1102,1289,1188
"DLGAP5|DLGAP5",88,68,35,37,117,46,41,30
"LGALS3|LGALS3",394,279,302,398,550,435,217,210
"WDHD1|WDHD1",96,53,76,49,117,49,75,78
"CGRRF1|CGRRF1",305,197,287,232,492,225,305,252
"SAMD4A|SAMD4A",2971,3546,4062,2756,6222,1980,2848,1701
"GCH1|GCH1",1167,1156,1439,1156,2959,1466,1808,1082
"GMFB|GMFB",634,257,473,147,1151,554,430,629
"CNIH1|CNIH1",1292,1107,1730,951,2684,1329,1097,1219
"CDKN3|CDKN3",21,32,27,49,86,18,46,49
"TRIM9|TRIM9",250,150,219,134,390,47,184,105
"FRMD6|FRMD6",432,325,314,363,843,375,389,243
"GNG2|GNG2",134,84,117,102,257,149,218,119
"C5H14orf166|C5H14orf166",1534,1202,1752,1578,2680,1322,1468,1317
"NID2|NID2",330,172,339,145,886,416,228,226
"TXNDC16|TXNDC16",371,279,257,237,770,205,260,299
"GPR137C|GPR137C",405,375,421,219,895,179,193,175
"ERO1A|ERO1A",138,118,139,156,234,155,122,149
"POLE2|POLE2",500,412,478,361,1015,472,459,351
"KLHDC2|KLHDC2",2112,1769,1845,1706,4307,1881,1996,1923
"VCPKMT|VCPKMT",340,455,425,615,616,415,480,280
"ATP5S|ATP5S",79,54,75,151,146,92,124,102
"MAP4K5|MAP4K5",535,425,438,291,1149,356,401,424
"ATL1|ATL1",155,62,104,69,231,142,101,116
"NIN|NIN",98,64,106,23,129,64,54,77
"RPS29|RPS29",1950,5749,3663,5445,4683,3330,3624,2839
"LRR1|LRR1",180,127,174,1458,273,167,93,109
"MGAT2|MGAT2",700,841,1172,824,1705,1059,765,532
"DNAAF2|DNAAF2",81,188,232,132,424,256,184,93
"KLHDC1|KLHDC1",367,231,307,243,761,430,438,393
"NEMF|NEMF",815,652,755,568,1447,533,559,516
"ARF6|ARF6",754,548,1086,593,1604,590,475,378
"SOS2|SOS2",816,579,830,434,1786,647,1060,556
"L2HGDH|L2HGDH",1988,1326,1828,1192,4315,1821,2272,2049
"CDKL1|CDKL1",40,81,60,41,136,68,83,78
"ABHD12B|ABHD12B",227,635,491,286,650,375,168,439
"PYGL|PYGL",6598,6654,8310,5652,16890,7070,5810,6946
"STYX|STYX",199,171,239,179,367,210,251,196
"PSMC6|PSMC6",2812,2371,3142,2396,5860,2845,2772,2916
"GNPNAT1|GNPNAT1",1177,1182,1492,1099,2090,862,1674,1203
"FERMT2|FERMT2",1842,1386,2070,951,4565,1112,1302,1240
"DDHD1|DDHD1",254,81,192,115,484,189,260,222
"LOC112532540|LOC112532540",21,0,0,0,33,9,18,24
"BMP4|BMP4",224,92,210,92,572,285,231,222
"MIS18BP1|MIS18BP1",314,261,123,200,445,150,324,271
"LOC112532538|LOC112532538",73,128,37,102,70,25,107,67
"FANCM|FANCM",498,375,321,317,927,276,406,368
"PRPF39|PRPF39",2989,2227,1864,1603,5651,2125,2431,2811
"KLHL28|KLHL28",535,435,518,237,1087,369,432,397
"SOUL|SOUL",46,32,27,10,66,41,16,12
"FKBP3|FKBP3",1436,1420,1629,1576,2326,1328,1264,1111
"LRFN5|LRFN5",46,44,61,106,93,107,189,40
"LOC112532687|LOC112532687",105,51,104,20,153,43,50,48
"LOC107049798|LOC107049798",41,40,48,37,66,49,48,24
"BICC1|BICC1",233,65,160,64,254,162,180,65
"CCSER2|CCSER2",786,452,514,329,1205,778,607,581
"LOC112532704|LOC112532704",7,24,16,4,17,27,8,10
"LOC112529935|LOC112529935",41,37,27,31,73,51,71,25
"LOC107049565|LOC107049565",16,28,30,14,19,22,30,4
"LOC107049564|LOC107049564",120,103,125,80,238,142,116,59
"LOC107051278|LOC107051278",21,11,24,6,62,44,70,5
"LOC101747373|LOC101747373",510,509,458,372,1021,501,570,448
"MANBAL15|MANBAL15",451,358,383,276,680,380,469,346
"LOC107049106|LOC107049106",11,79,22,43,65,7,32,22
"MANBAL17|MANBAL17",543,380,477,304,803,535,512,359
"LOC112532659|LOC112532659",15,24,17,24,35,50,46,16
"LOC107056520|LOC107056520",5,42,7,10,48,6,17,20
"LOC107049782|LOC107049782",9,34,12,9,14,13,22,2
"LOC112532661|LOC112532661",35,45,38,24,84,43,61,33
"MMRN2|MMRN2",154,85,110,37,233,101,73,79
"BMPR1A|BMPR1A",756,527,917,476,1657,675,742,631
"LOC768772|LOC768772",265,312,396,266,256,611,433,208
"WAPL|WAPL",3818,2455,4443,1923,8727,3210,2499,3966
"LOC112532685|LOC112532685",597,841,762,870,994,532,660,543
"LOC101749937|LOC101749937",18,5,12,22,35,9,13,27
"NCOA4|NCOA4",5065,2528,4930,2471,11560,4152,5488,3605
"GLUD1|GLUD1",23307,12448,22800,6305,44177,17851,11613,17056
"FAM35A|FAM35A",2069,811,1894,2961,5116,872,1826,2093
"PARG|PARG",1112,715,1130,604,2139,904,1006,1002
"TIMM23B|TIMM23B",1505,1399,1699,1563,2594,1233,1242,966
"TSPAN14|TSPAN14",285,149,226,66,573,340,217,356
"GHITM|GHITM",9639,7456,10638,8042,22369,8682,8217,10120
"EXOSC3|EXOSC3",89,101,179,135,206,84,78,93
"SELENOU|SELENOU",3593,2961,4153,3546,8745,3370,3289,3338
"SFTPA1|SFTPA1",16,21,13,26,34,16,14,18
"SFTPA2|SFTPA2",8,29,50,9,18,36,98,17
"LOC101752163|LOC101752163",785,647,512,611,2358,912,1317,1024
"MBL2|MBL2",4756,4558,7096,3256,15379,9702,13648,6126
"RASGEF1A|RASGEF1A",61,43,44,33,155,42,39,69
"CSGALNACT2|CSGALNACT2",332,203,265,175,497,250,288,427
"RET|RET",8,0,27,8,22,78,27,7
"BMS1|BMS1",728,660,1075,602,1525,491,468,455
"SRRL|SRRL",115,88,163,138,196,207,189,156
"PLAC9|PLAC9",6,0,23,6,30,23,11,7
"TMEM254|TMEM254",4900,4473,5642,4674,10446,5272,4962,4618
"ANXA11|ANXA11",881,509,714,470,1878,1261,683,834
"ECD|ECD",533,461,578,405,1242,462,475,629
"FAM149B1|FAM149B1",1361,1045,1232,777,2868,1019,1183,1335
"DNAJC9|DNAJC9",282,384,377,281,595,277,275,290
"TFAM|TFAM",904,738,924,830,1356,670,793,649
"UBE2D1|UBE2D1",374,298,245,408,695,349,442,405
"CISD1|CISD1",9522,6359,9663,6075,19319,7255,8747,8409
"IPMK|IPMK",1910,1800,1803,1815,3810,1996,1547,1590
"SIRT1|SIRT1",729,514,452,312,1525,719,624,791
"DNAJC12|DNAJC12",637,461,182,320,1121,819,1487,1483
"REEP3|REEP3",1968,1265,1940,1031,4461,1742,1698,1972
"SLC22A15L|SLC22A15L",74,105,120,106,299,173,206,134
"JMJD1C|JMJD1C",1738,987,1126,586,3371,1242,1597,1754
"NRBF2|NRBF2",915,732,1021,907,2086,1045,923,1116
"ADO|ADO",327,435,602,414,1064,629,529,437
"RTKN2|RTKN2",351,222,265,188,750,294,415,306
"ZNF365|ZNF365",349,333,445,273,597,293,287,341
"TMEM26|TMEM26",78,18,32,24,122,81,33,62
"ARID5B|ARID5B",776,625,849,449,1865,555,601,467
"C6H10orf107|C6H10orf107",18,0,13,14,24,20,22,35
"LOC112532726|LOC112532726",159,183,111,69,113,65,209,63
"CDK1|CDK1",164,126,72,154,175,65,97,71
"SLC16A9|SLC16A9",38,33,23,12,51,44,39,34
"CCDC6|CCDC6",921,649,1076,575,2216,845,712,837
"LOC101749147|LOC101749147",181,330,249,348,513,215,255,271
"FAM13AL|FAM13AL",16,22,6,0,12,12,8,34
"ANK3|ANK3",4458,2609,2993,1423,8668,2976,3039,3549
"LOC770653|LOC770653",140,179,198,150,310,186,197,171
"RSFR|RSFR",1092,796,892,883,2115,1780,1277,961
"CWF19L1|CWF19L1",274,191,316,163,462,145,130,171
"CHUK|CHUK",860,709,762,633,1789,651,782,697
"TUBGCP2|TUBGCP2",926,685,763,586,1753,721,918,711
"ZNF511|ZNF511",325,276,234,300,506,197,284,213
