gene_id,ERR2984230,ERR2984231,ERR2984232,ERR2984239,ERR2984238,ERR2984249
LOC101749506|LOC101749506,437,397,440,0,10,10
SLC38A2|SLC38A2,301,254,284,13666,12468,8828
AMIGO2|AMIGO2,12,0,0,173,51,55
LOC112533249|LOC112533249,258,114,169,283,99,79
LOC112531642|LOC112531642,401,323,300,2,0,2
LRIG3|LRIG3,726,603,913,45,27,0
SLC16A7|SLC16A7,0,0,0,678,133,151
ATP23|ATP23,15,0,22,2469,1714,1347
RPAP3|RPAP3,126,30,164,1406,850,602
LOC112533248|LOC112533248,1007,357,1312,0,15,6
SLC38A4|SLC38A4,272,217,187,45004,25532,22394
LOC101749586|LOC101749586,521,388,437,3000,3375,1302
FAM19A2|FAM19A2,0,0,0,23,10,10
USP15|USP15,18,0,0,3245,2159,1904
LOC107052719|LOC107052719,323,175,291,13856,11924,17540
LOC107052718|LOC107052718,0,0,0,15566,12350,14792
TMEM5|TMEM5,1816,1545,1875,489,267,299
MON2|MON2,0,0,0,4897,3520,3265
PPM1H|PPM1H,5,8,9,744,507,583
SRGAP1|SRGAP1,8162,5227,5382,417,237,292
C1H12ORF66|C1H12ORF66,58,20,47,5807,4069,2741
RPL18A|RPL18A,19,11,41,13485,6302,4045
LOC112531625|LOC112531625,0,8,10,1,1,1
XPOT|XPOT,245,55,118,4519,2923,2393
TBK1|TBK1,835,810,1022,1891,998,1241
RASSF3|RASSF3,499,441,467,18872,15052,6725
TBC1D30|TBC1D30,18545,11366,14605,1054,922,677
LEMD3|LEMD3,1208,1491,968,762,660,474
GNS|GNS,14,9,11,19734,12424,9611
HMGA2|HMGA2,2034,6936,9292,11,3,5
MSRB3|MSRB3,5844,5932,11963,3519,1515,1562
LLPH|LLPH,1665,959,1373,1192,1000,498
TMBIM4|TMBIM4,0,0,1,1240,800,626
HELB|HELB,1,1,2,2483,1973,1080
IFNG|IFNG,2589,1408,2639,29,8,8
GRIP1|GRIP1,5,10,8,21,6,0
CAND1|CAND1,178,208,207,3244,2335,2337
LOC112531553|LOC112531553,414,224,374,0,0,0
DYRK2|DYRK2,203,68,180,761,495,554
MDM1|MDM1,2246,1830,2113,853,493,386
LOC101752108|LOC101752108,2224,4246,3881,93,63,46
SLC35E3|SLC35E3,1,1,1,2744,2390,1490
RAP1B|RAP1B,1833,1307,2353,4097,2298,1877
NUP107|NUP107,932,375,426,1663,1231,1081
CPM|CPM,6703,3656,4914,97,33,18
MDM2|MDM2,659,320,652,3258,2836,2232
FRS2|FRS2,415,270,300,862,620,520
CPSF6|CPSF6,9382,4952,8533,2374,1981,1613
LOC107052751|LOC107052751,494,614,523,589,411,229
LYZ|LYZ,347,500,490,930,1130,447
YEATS4|YEATS4,549,406,466,966,722,532
