"genes","CN_2w_2","CN_2w_1","CN_4w_1","HT_3hr_1","HT_3hr_2","HT_3hr_4"
"RINT1|RINT1",127,475,636,9860,5605,5140
"PUS7|PUS7",312,794,1114,14,6,14
"CCDC71L|CCDC71L",118,498,385,379,131,119
"ATXN7L1|ATXN7L1",369,962,1495,74,40,52
"CDHR3|CDHR3",7,42,61,912,403,452
"SYPL1|SYPL1",325,1145,1283,66,19,41
"NAMPT|NAMPT",1209,3878,5291,1293,435,423
"PIK3CG|PIK3CG",558,1481,2819,11,9,7
"PRKAR2B|PRKAR2B",44,237,201,833,275,296
"DUS4L|DUS4L",92,353,394,0,0,0
"HBP1|HBP1",486,821,1823,1941,718,748
"COG5|COG5",253,739,948,55,45,46
"SLC26A3|SLC26A3",6,5,13,1569,399,682
"CBLL1|CBLL1",113,440,544,10,9,8
"BCAP29|BCAP29",721,2882,2808,4010,1729,1653
"LRRK2|LRRK2",110,254,532,2702,1105,1566
"LOC112533030|LOC112533030",0,8,4,1269,564,595
"LAMB4|LAMB4",12,38,16,537,228,366
"LAMB1|LAMB1",201,507,843,0,0,0
"ERGIC2|ERGIC2",942,3564,3780,4,6,3
"SLC2A13|SLC2A13",568,2223,2023,5,0,8
"C12orf40|C12orf40",22,29,88,733,324,255
"LOC107051634|LOC107051634",97,370,467,4084,2476,2354
"GTSE1|GTSE1",14,28,71,9759,3772,4747
"KIF21A|KIF21A",833,2270,3692,671,189,248
"LOC107051635|LOC107051635",5,11,29,41,11,21
"ALG10|ALG10",125,326,400,4542,2046,2399
"TPRKB|TPRKB",74,560,572,1253,638,361
"CPNE8|CPNE8",284,567,1040,14,10,5
"TRMU|TRMU",168,570,523,3730,1147,1393
"HIST1H2B5L|HIST1H2B5L",33,179,169,123,54,57
"GRAMD4|GRAMD4",108,304,497,3222,1530,1821
"CELSR1|CELSR1",294,595,854,467,406,274
"CERK|CERK",374,1161,1414,0,0,0
"TBC1D22A|TBC1D22A",287,696,1240,5960,2413,2370
"BRD1|BRD1",267,558,1232,1375,678,880
"LOC112533147|LOC112533147",51,166,197,625,285,350
"LOC107050376|LOC107050376",0,0,0,547,250,345
"PIM3|PIM3",688,1432,1725,688,296,287
"LOC101748415|LOC101748415",0,0,0,222,109,59
"LOC107050120|LOC107050120",0,0,0,613,167,201
"MOV10L1|MOV10L1",0,26,50,1301,419,378
"LOC112533153|LOC112533153",0,0,0,2306,925,934
"LOC429348|LOC429348",80,118,61,1828,649,783
"CRELD2|CRELD2",1661,11467,10309,0,0,0
"TRABD|TRABD",772,2313,2618,0,0,0
"SELENOO|SELENOO",556,1724,2337,1538,740,871
"MAPK12|MAPK12",32,77,108,1457,572,493
"MAPK11|MAPK11",83,236,327,0,0,0
"TUBGCP6|TUBGCP6",106,218,454,0,0,0
"HDAC10|HDAC10",221,588,666,200,106,221
"ARL8BL|ARL8BL",11,26,20,2220,1342,2187
"ZNF800|ZNF800",89,265,301,12037,5586,6074
"LOC107052593|LOC107052593",30,13,37,13899,6663,3064
"POT1|POT1",82,196,237,42,19,19
"WASL|WASL",347,946,1248,71,29,15
"MIR1693|MIR1693",0,0,0,155,137,52
"MIR1693",0,0,0,3952,953,1187
"PLXNB2|PLXNB2",2046,4517,8837,0,0,0
"IQUB|IQUB",34,70,78,3825,1360,1665
"NDUFA5|NDUFA5",513,2366,1498,136,58,118
"ATP6AP1|ATP6AP1",483,1140,2799,579,232,345
"CADPS2|CADPS2",17,42,76,379,171,218
"FAM3C|FAM3C",179,566,775,20,34,5
"AASS|AASS",1121,3866,6228,304,117,190
"CPED1|CPED1",85,116,200,0,0,0
"MIR1645|MIR1645",0,0,0,11423,4947,4762
"LSM8|LSM8",68,274,188,2064,763,759
"LOC112533181|LOC112533181",0,0,0,169,68,61
"ANKRD26|ANKRD26",72,199,419,1457,908,937
"TSPAN12|TSPAN12",1715,4731,5724,9,12,19
"ST7|ST7",146,707,622,5,4,4
"CAPZA2|CAPZA2",886,2193,3563,982,464,594
"CAV1|CAV1",9,14,35,8617,3292,3298
"CAV2|CAV2",20,46,77,442,137,320
"TES|TES",43,68,170,0,0,0
"TFEC|TFEC",11,9,47,653,318,350
"MDFIC|MDFIC",92,277,428,239,148,121
"MET|MET",872,1609,2498,394,156,222
"GPR85|GPR85",0,0,0,55,42,31
"LOC107052650|LOC107052650",218,484,968,10038,5613,6139
"BMT2|BMT2",52,96,329,0,0,0
"TMEM168|TMEM168",357,715,1157,1027,351,309
"FOXP2|FOXP2",325,741,1249,4363,2409,2173
"ZNF277|ZNF277",56,211,243,21,21,12
"IFRD1|IFRD1",698,4044,4126,107,126,73
"DOCK4|DOCK4",69,120,354,0,0,0
"DNAJB9|DNAJB9",433,1944,2756,27,25,20
"THAP5|THAP5",106,420,805,3450,1590,2353
"PNPLA8|PNPLA8",248,455,790,16,6,11
"IMMP2L|IMMP2L",123,451,431,431,225,197
"GXYLT1|GXYLT1",94,253,471,1670,1588,804
"PDZRN4|PDZRN4",9,0,10,357,166,189
"ZCRB1|ZCRB1",136,498,602,1671,993,904
"PPHLN1|PPHLN1",133,331,443,12,12,8
"MIR7447",0,0,0,335,149,126
"PRICKLE1|PRICKLE1",39,66,154,390,155,184
"PUS7L|PUS7L",118,275,316,656,386,282
"IRAK4|IRAK4",181,640,807,0,0,0
"TWF1|TWF1",297,1188,1061,2489,963,576
"LOC112533246|LOC112533246",23,50,107,1262,713,929
"NELL2|NELL2",342,816,1110,18,15,0
"LOC101749362|LOC101749362",90,314,300,23,11,5
"ARID2|ARID2",242,557,828,5,4,10
"LOC107052702|LOC107052702",0,0,0,482,248,242
"SLC38A1|SLC38A1",213,321,801,650,341,280
"SCAF11|SCAF11",858,2754,3347,0,0,0
"LOC101749506|LOC101749506",0,9,10,696,347,398
"SLC38A2|SLC38A2",2229,8528,12103,638,263,306
"AMIGO2|AMIGO2",33,20,87,20,5,6
"LOC112533249|LOC112533249",11,12,41,371,213,196
"SLC16A7|SLC16A7",67,116,375,9,9,0
"ATP23|ATP23",397,1387,1333,20,20,15
"RPAP3|RPAP3",209,600,703,240,60,111
"SLC38A4|SLC38A4",6078,17438,22508,624,294,356
"LOC101749586|LOC101749586",531,2427,965,956,506,681
"USP15|USP15",523,1290,2497,14,7,4
"LOC107052719|LOC107052719",7094,21349,22901,328,227,329
"LOC107052718|LOC107052718",4107,16245,16273,0,0,0
"TMEM5|TMEM5",61,200,227,4236,1622,1757
"MON2|MON2",995,2024,4419,0,0,0
"SRGAP1|SRGAP1",68,127,338,12388,4776,5964
"C1H12ORF66|C1H12ORF66",892,3728,3134,102,57,58
"RPL18A|RPL18A",1517,11015,4542,47,17,87
"XPOT|XPOT",766,2495,3319,291,223,179
"TBK1|TBK1",102,771,948,1695,889,906
"RASSF3|RASSF3",1650,6982,9125,901,427,480
"TBC1D30|TBC1D30",223,694,768,44518,18495,22969
"LEMD3|LEMD3",166,532,587,2181,2726,1541
"GNS|GNS",3118,7321,13119,24,6,21
"MSRB3|MSRB3",364,1244,1248,21574,4292,6661
"LLPH|LLPH",211,1167,654,2887,1435,1587
"TMBIM4|TMBIM4",174,540,818,1,0,1
"HELB|HELB",421,1226,1575,2,0,2
"IFNG|IFNG",4,6,12,6813,2394,2608
"CAND1|CAND1",676,1801,3049,438,178,196
"LOC112531553|LOC112531553",0,0,0,923,327,460
"DYRK2|DYRK2",90,283,434,375,352,164
"MDM1|MDM1",136,378,485,3791,1914,1952
"LOC101752108|LOC101752108",17,39,61,5328,3982,3026
"SLC35E3|SLC35E3",439,2122,2365,1,1,1
"RAP1B|RAP1B",603,1923,2486,4563,2060,2049
"NUP107|NUP107",355,981,1452,1227,574,767
"CPM|CPM",13,12,45,12493,5789,8674
"MDM2|MDM2",647,2226,2947,1169,398,492
"FRS2|FRS2",149,367,738,729,248,361
"CPSF6|CPSF6",440,1199,1694,19213,8210,8584
"LOC107052751|LOC107052751",81,290,264,2606,1048,1340
"LYZ|LYZ",114,382,520,588,398,473
"YEATS4|YEATS4",149,617,514,1123,718,666
"LRRC10|LRRC10",4,13,7,1733,833,782
"CCT2|CCT2",1415,5584,5770,0,0,0
"RAB3IP|RAB3IP",309,1069,1295,0,0,0
"CNOT2|CNOT2",276,845,1289,4025,1420,1325
"TSPAN8|TSPAN8",32,73,186,763,384,294
"LGR5|LGR5",25,125,147,90,31,31
"PTPRB|PTPRB",459,576,1999,2684,1579,1247
"PTPRR|PTPRR",5,12,8,1968,876,802
"LOC112533274|LOC112533274",0,0,0,2171,753,592
"ZFC3H1|ZFC3H1",972,1616,4241,3593,1274,1650
"TMEM19|TMEM19",505,1581,1869,57,32,22
"RAB21|RAB21",639,1892,2663,700,326,393
"TBC1D15|TBC1D15",485,811,1884,2195,991,910
"CTSEAL|CTSEAL",33326,120379,129352,546,4058,1886
"LOC101748307|LOC101748307",0,0,0,561,264,303
"TRHDE|TRHDE",765,1938,3321,7264,2623,2295
"CAPS2|CAPS2",10,30,64,1925,982,953
"CCDC107|CCDC107",152,388,675,1456,650,660
"LOC112533299|LOC112533299",0,0,0,60,18,82
"PHLDA1|PHLDA1",45,164,276,165,121,104
"KRR1|KRR1",173,446,609,2774,883,980
"ZDHHC17|ZDHHC17",120,300,513,0,0,0
"CSRP2|CSRP2",114,254,542,5270,2050,2657
"E2F7|E2F7",11,9,25,2477,1180,1223
"BBS10|BBS10",24,92,109,3875,1714,1807
"PAWR|PAWR",407,1048,1501,7,11,0
"SYT1|SYT1",4,15,18,15,9,0
"LOC112533322|LOC112533322",0,0,0,5325,2128,3003
"LOC107052828|LOC107052828",0,0,0,93,35,27
"NAV3|NAV3",46,68,214,820,340,453
"PPP1R12A|PPP1R12A",338,793,1422,337,211,199
"LIN7A|LIN7A",9,17,13,803,439,447
"LOC101749704|LOC101749704",11,25,16,303,165,114
"RPS16|RPS16",2777,12406,8582,4747,2580,1999
"ACSS3|ACSS3",577,1918,2068,565,201,340
"METTL25|METTL25",41,135,171,9,0,11
"CCDC59|CCDC59",69,402,364,507,252,219
"ALX1|ALX1",0,0,0,111,68,70
"PPFIA2|PPFIA2",27,40,19,0,0,0
"RASSF9|RASSF9",152,401,338,19,10,0
"TMTC2|TMTC2",76,298,280,0,0,0
"DUSP6|DUSP6",106,233,542,23,17,13
"POC1B|POC1B",58,226,335,33,30,28
"GALNT4|GALNT4",87,283,609,10701,6324,6817
"LOC107052879|LOC107052879",76,388,276,3258,1642,1390
"C1H12orf50|C1H12orf50",254,464,598,0,0,0
"C1H12orf29|C1H12orf29",267,883,1146,4,6,2
"CEP290|CEP290",22,49,138,181,96,78
"LUM|LUM",154,536,491,422,270,224
"EPYC|EPYC",0,0,0,85,22,28
"ATP2B1|ATP2B1",390,911,1977,773,332,352
"DCN|DCN",779,1551,2355,16,5,13
"LOC112533362|LOC112533362",44,39,114,4,0,3
"BTG1|BTG1",3080,10452,10228,617,289,250
"PLEKHG7|PLEKHG7",0,0,0,94,45,39
"EEA1|EEA1",253,786,1520,458,212,251
"UBE2N|UBE2N",491,1666,1792,840,472,466
"NUDT4|NUDT4",1396,4433,6752,337,213,199
"SOCS2|SOCS2",102,454,717,1163,598,696
"MRPL42|MRPL42",182,626,646,1097,476,499
"LOC107052984|LOC107052984",285,650,1792,2560,1036,1532
"CRADD|CRADD",150,587,693,707,397,234
"CEP83|CEP83",43,116,107,5261,2013,1803
"TMCC3|TMCC3",35,102,184,15621,7364,8492
"SNAPC3|SNAPC3",88,406,287,0,0,0
"NDUFA12|NDUFA12",565,2979,1765,1993,897,891
"NR2C1|NR2C1",204,491,700,7792,2505,2563
"METAP2|METAP2",525,1598,1908,2513,1085,1073
"VEZT|VEZT",222,630,856,24,9,9
"FGD6|FGD6",224,363,827,698,421,404
"LOC107052983|LOC107052983",34,8,42,868,967,385
"LOC112533391|LOC112533391",27,80,117,857,485,437
"USP44|USP44",443,1220,1841,142,55,68
"AMDHD1|AMDHD1",1949,7368,6766,2495,1157,1103
"HAL|HAL",1467,5299,7452,230,100,92
"ELK3|ELK3",80,210,326,425,223,266
"LTA4H|LTA4H",582,1632,2342,1996,1046,865
"NEDD1|NEDD1",183,583,912,1136,401,655
"CDK17|CDK17",329,889,1433,1333,491,539
"LOC107052950|LOC107052950",0,0,0,124,65,95
"TMPO|TMPO",269,762,1105,76,34,56
"APAF1|APAF1",176,414,811,20,29,5
"IKBIP|IKBIP",158,445,522,2465,1040,1160
"SLC25A3|SLC25A3",3897,11999,12189,24,29,15
"LOC112531638|LOC112531638",10,26,28,552,385,224
"ANKS1B|ANKS1B",0,18,16,3223,1134,1657
"ACTR6|ACTR6",247,907,977,0,0,0
"UHRF1BP1L|UHRF1BP1L",526,1448,1960,494,234,127
"SLC17A8|SLC17A8",5,15,19,3364,1454,1835
"SCYL2|SCYL2",595,1265,2355,7803,3554,4810
"NR1H4|NR1H4",490,1264,1531,10141,4705,5302
"GAS2L3|GAS2L3",149,247,227,37,20,0
"ANO4|ANO4",9,9,14,1783,755,717
"UTP20|UTP20",268,974,1572,1215,488,421
"ARL1|ARL1",927,3311,3280,1339,752,659
"NUP205|NUP205",406,964,1625,847,459,443
"C7orf49|C7orf49",18,107,66,614,204,231
"WDR91|WDR91",164,461,650,18465,8558,8993
"CNOT4|CNOT4",161,189,567,59,15,21
"LOC417937|LOC417937",4,7,26,2751,1157,1084
"LOC107053813|LOC107053813",4,0,5,1353,665,548
"TMEM140|TMEM140",158,288,539,35,19,19
"ARHGDIB|ARHGDIB",246,506,968,2984,1403,1710
"OC3|OC3",8,7,4,253,55,65
"MGP|MGP",141,812,317,2533,1343,1351
"HISTH1|HISTH1",42,83,70,39,22,17
"HIST1H2B7|HIST1H2B7",13,37,55,13,19,0
"WBP11|WBP11",359,941,1303,1310,343,490
"HIST1H2A3|HIST1H2A3",18,86,63,3924,1683,1686
"HIST1H3G|HIST1H3G",5,17,11,2421,966,1330
"HIST1H4D|HIST1H4D",76,384,269,47,7,36
"HIST1H110|HIST1H110",183,447,281,853,250,306
"HIST1H46L2|HIST1H46L2",113,454,264,5,6,2
"HISTH2A4L1|HISTH2A4L1",12,61,45,0,0,0
"HIST1H2B8|HIST1H2B8",29,93,61,73,35,31
"HIST2H3L|HIST2H3L",2,10,3,716,428,352
"HIST1H46|HIST1H46",51,237,151,616,403,416
"HSTH2B7|HSTH2B7",6,4,9,722,488,295
"HIST2H4B|HIST2H4B",77,311,177,22,9,15
"H2AFJ|H2AFJ",26,92,85,684,349,216
"HIST1H2BF|HIST1H2BF",47,142,107,139,149,90
"HIST1H3A|HIST1H3A",8,18,10,52,53,29
