"genes","CN_2w_2","CN_2w_1","CN_4w_1","HT_3hr_1","HT_3hr_2","HT_3hr_4"
"VWA5B2|VWA5B2",51,293,412,972,247,263
"ALG3|ALG3",171,640,429,1,1,0
"LOC431092|LOC431092",4,21,21,224,196,85
"MUL1L|MUL1L",165,841,488,737,366,337
"ECE2|ECE2",18,94,76,87,73,66
"AP2M1|AP2M1",1920,6386,7516,402,177,164
"ABCF3|ABCF3",696,3439,3177,602,454,345
"PSMD2|PSMD2",1229,4515,4095,4026,1874,1411
"CHRD|CHRD",17,129,144,0,0,0
"CLCN2|CLCN2",73,303,286,243,101,118
"THPO|THPO",88,313,152,9,2,9
"POLR2H|POLR2H",233,891,555,3,0,2
"EPHB3|EPHB3",67,313,374,1,0,1
"LOC107054090|LOC107054090",43,159,247,819,517,528
"EIF4G1|EIF4G1",2437,8002,9576,3296,1436,1484
"LOC112533093|LOC112533093",1,2,2,1238,721,608
"MCF2L2|MCF2L2",22,31,95,6386,2432,3035
"MCCC1|MCCC1",588,1829,2256,16,14,0
"DCUN1D1|DCUN1D1",361,1660,2117,20,28,11
"ATP11B|ATP11B",876,1657,2803,92,57,37
"FXR1|FXR1",589,1692,2217,15071,8383,7308
"LOC101749252|LOC101749252",4,5,5,985,465,166
"CCDC39|CCDC39",381,807,1309,342,137,54
"TTC14|TTC14",128,215,502,6,0,8
"USP13|USP13",25,28,34,161,86,111
"PEX5L|PEX5L",375,280,515,47,23,14
"NDUFB5|NDUFB5",843,3429,2395,3619,1769,1599
"MRPL47|MRPL47",172,785,610,0,0,0
"LOC112532991|LOC112532991",0,0,0,79,103,32
"ZNF639|ZNF639",242,632,717,9,7,0
"PIK3CA|PIK3CA",167,219,605,8,17,12
"ZMAT3|ZMAT3",170,362,704,448,214,191
"LOC107054080|LOC107054080",6,33,40,1182736,586536,565370
"LOC107054117|LOC107054117",164,216,371,1400,641,584
"LOC107054119|LOC107054119",6,7,17,7769,3047,3134
"NAALADL2|NAALADL2",832,2206,2893,6,12,8
"LOC107054091|LOC107054091",74,155,213,0,0,0
"AHSG|AHSG",72360,245303,308110,62,23,10
"FETUB|FETUB",6858,15007,13633,68,40,29
"HRG|HRG",16893,26042,37533,547,295,319
"KNG1|KNG1",19406,50892,72653,3646,1851,1824
"MIR6617|MIR6617",8,34,22,0,0,0
"ERR2984226.13947|MIR6617",1,1,1,272,72,55
"EIF4A2|EIF4A2",9775,25694,35401,85,58,71
"LOC112533097|LOC112533097",7,17,27,1274,497,440
"LOC112533095|LOC112533095",15,19,40,291,102,114
"LOC112533088|LOC112533088",6,19,21,89,54,14
"RFC4|RFC4",122,678,550,2114,736,887
"FNDC3B|FNDC3B",250,688,1520,650,304,391
"PLD1|PLD1",371,1120,2155,903,853,661
"TNIK|TNIK",103,189,532,270,233,129
"ECT2|ECT2",127,382,589,76,32,55
"LOC107054120|LOC107054120",171,258,448,4649,2079,1905
"NCEH1|NCEH1",6619,23603,29961,87,39,44
"TNFSF10|TNFSF10",3373,6481,9418,1008,531,480
"SLC2A2|SLC2A2",1528,3419,2769,486,233,316
"EIF5A2|EIF5A2",2042,8653,8353,1684,716,541
"RPL22L1|RPL22L1",502,1426,1089,61,19,31
"SKIL|SKIL",105,294,497,44,14,35
"LRRC31|LRRC31",50,158,116,0,0,0
"LRRIQ4|LRRIQ4",5,4,3,2441,1165,1169
"LRRC34|LRRC34",16,56,88,28,5,15
"SEC62|SEC62",1072,3039,4011,4996,2027,2122
"LOC107054125|LOC107054125",4,19,30,55,14,15
"SERPINI1|SERPINI1",46,450,477,164,57,90
"PDCD10|PDCD10",277,589,854,71,65,34
"BCHE|BCHE",491,1450,1940,2020,945,1123
"LOC107054137|LOC107054137",0,0,0,7578,2895,3965
"SPTSSB|SPTSSB",5,0,4,1173,578,627
"LOC107054136|LOC107054136",0,0,0,119,80,83
"SPTSSBL|SPTSSBL",4,26,20,1074,494,495
"LOC107054129|LOC107054129",0,0,0,1739,348,346
"MECOM|MECOM",42,79,144,28,25,27
"LOC107054128|LOC107054128",0,4,6,2894,1167,1538
"MEGF6L|MEGF6L",8,51,91,492,205,177
"MIR551B|MIR551B",0,0,0,565,390,684
"MIR551B",0,0,0,294,178,111
"LOC112533003|LOC112533003",47,40,170,128,104,79
"SMC4|SMC4",95,241,489,0,0,0
"MIR16-2|MIR16-2",0,0,0,148,139,148
"C9H3orf80|C9H3orf80",3,12,20,4191,1554,1905
"IL12A|IL12A",0,0,0,27830,10332,10916
"IFT80|IFT80",594,1239,2084,6,2,2
"B3GALNT1|B3GALNT1",111,418,375,1,0,1
"MIR1692|MIR1692",0,0,0,325,160,119
"MIR1692",0,0,0,45,23,14
"TRIM59|TRIM59",200,694,958,8960,3990,4988
"PPM1L|PPM1L",393,795,1320,888,664,477
"KPNA4|KPNA4",1030,3134,4999,0,0,0
"LOC112533096|LOC112533096",434,934,1332,2859,1325,1012
"NLRP1L|NLRP1L",182,373,415,8,6,0
"SCHIP1|SCHIP1",52,195,261,9,0,13
"LOC101750745|LOC101750745",4,8,15,8408,2826,2025
"MFSD1|MFSD1",625,1551,2670,442,245,153
"LOC107054140|LOC107054140",0,8,7,704,273,342
"RARRES1|RARRES1",997,1845,3659,14,35,18
"PQLC2L|PQLC2L",11,29,39,164,114,32
"MLF1|MLF1",69,225,295,464,213,268
"GFM1|GFM1",908,2577,3618,1972,1056,809
"LXN|LXN",35,49,87,991,409,443
"VEPH1|VEPH1",18,57,160,142,44,47
"LOC107054141|LOC107054141",4,15,9,78,44,34
"RSRC1|RSRC1",154,600,530,5555,1708,2233
"TIPARP|TIPARP",118,301,548,139,20,51
"LEKR1|LEKR1",94,108,219,9,0,7
"CCNL1|CCNL1",415,1337,1780,9,9,14
"KCNAB1|KCNAB1",0,11,8,4152,1770,2085
"SSR3|SSR3",1842,8407,7174,0,0,0
"MIR1658|MIR1658",0,3,3,93,34,41
"GMPS|GMPS",644,1693,2814,52,99,16
"C3orf33|C3orf33",53,312,324,676,308,251
"GPR149|GPR149",0,0,0,4736,1843,2179
"DHX36|DHX36",677,1942,2542,0,0,0
"LOC112532980|LOC112532980",8,0,9,6076,2888,2964
"ARHGEF26|ARHGEF26",349,976,1274,0,0,0
"RAP2B|RAP2B",166,786,569,0,0,0
"P2RY1|P2RY1",76,127,207,112,29,52
"LOC107054144|LOC107054144",12,35,18,438,107,132
"SUCNR1|SUCNR1",22,133,137,90,38,40
"MIR1754|MIR1754",2,4,5,405,175,169
"ERR2984226.14077|MIR1754",1,1,1,25466,15516,16791
"MBNL1|MBNL1",963,3587,4566,1121,286,535
"MED12L|MED12L",55,142,161,1,1,1
"P2RY12|P2RY12",20,66,127,38,18,4
"MIR1793",0,0,0,2260,844,1032
"IGSF10|IGSF10",13,36,66,352,190,128
"P2RY13|P2RY13",33,49,123,23,34,16
"P2RY14|P2RY14",10,26,48,8,0,5
"GPR171|GPR171",12,26,55,1536,535,542
"MINDY4B|MINDY4B",0,13,14,8369,5101,3387
"LOC112532988|LOC112532988",0,0,0,191,75,37
"TSC22D2|TSC22D2",177,525,758,1534,510,484
"LOC107054147|LOC107054147",7,14,12,2032,915,1080
"SIAH2|SIAH2",97,339,379,114,28,49
"SELENOT|SELENOT",764,3474,3157,1355,439,547
"SERP1|SERP1",3330,19500,14697,4,4,0
"LOC107054149|LOC107054149",0,7,8,9891,7635,6995
"LOC107054150|LOC107054150",0,0,0,2255,1007,952
"PFN2|PFN2",1994,7779,6452,20,14,3
"LOC107054154|LOC107054154",10,33,41,126,49,49
"WWTR1|WWTR1",251,694,888,9,11,13
"COMMD2|COMMD2",256,773,867,0,0,0
"RNF13|RNF13",1143,2904,4141,0,0,0
"TM4SF1|TM4SF1",46,204,176,9683,3782,3630
"TM4SF4|TM4SF4",4512,17411,17130,0,0,0
"ARMC5|ARMC5",13,45,95,32,9,21
"LOC107054152|LOC107054152",7,7,20,11790,4768,5339
"GYG1|GYG1",162,383,595,4,0,2
"HPS3|HPS3",448,896,1677,89,18,23
"TM4SF18|TM4SF18",86,193,342,227,100,87
"CP|CP",3799,11537,22465,8336,3216,2195
"LOC112533201|LOC112533201",0,0,0,175,74,77
"LOC112533203|LOC112533203",0,0,0,2999,728,848
"LOC107050034|LOC107050034",83,152,115,333,82,65
"LOC107049691|LOC107049691",14,40,17,0,0,0
"LOC107049688|LOC107049688",172,345,235,0,0,0
"LOC112533205|LOC112533205",0,0,0,972,450,554
"LOC107054161|LOC107054161",13,44,60,1,0,1
"LOC107054160|LOC107054160",72,166,305,3,4,4
"SHF|SHF",75,150,308,2226,847,1587
"MIR1670|MIR1670",0,0,0,2547,915,1379
"MIR1670",0,0,0,7434,2681,4379
"MZT2BL|MZT2BL",239,792,948,80,45,48
"DUOXA1L|DUOXA1L",10,10,0,1400,637,497
"TRNAH-GUG_3",0,0,0,543,294,215
"TRNAH-GUG_4",0,0,0,628,387,240
"SLC28A2|SLC28A2",63,171,161,400,264,270
"ALPK3|ALPK3",11,195,83,671,217,241
"SEC11A|SEC11A",254,1290,934,11839,4637,4242
"LOC112533170|LOC112533170",7,16,52,19,10,6
"RBPMS2|RBPMS2",27,47,55,3922,1981,1760
"OAZ2|OAZ2",316,1104,1002,70,39,43
"ZNF609|ZNF609",431,1097,1699,625,398,274
"TRIP4|TRIP4",168,612,561,7077,2386,2007
"SORD|SORD",6643,24100,21545,462,199,136
"CSNK1G1|CSNK1G1",227,886,628,161,112,48
"KIAA0101|KIAA0101",7,58,18,299,150,171
"SNX1|SNX1",964,3441,4286,759,417,302
"SNX22|SNX22",2,21,30,14421,3893,3085
"B2M|B2M",10843,38347,50536,442,162,104
"AP3B2|AP3B2",10,29,66,313,114,192
"MIR1688|MIR1688",0,0,0,90,47,94
"MIR1688",0,0,0,131,122,128
"LOC112533211|LOC112533211",36,48,168,24,29,36
"MIR6660|MIR6660",1,4,1,2191,987,1294
"SENP8|SENP8",114,347,348,4314,1670,1716
"RPS17|RPS17",2924,18602,9070,1815,1096,899
"LOC112533226|LOC112533226",16,14,39,2850,1315,1518
"PKM|PKM",236,560,1068,12,7,6
"NR2E3|NR2E3",1,5,13,1445,734,927
"LOC112533172|LOC112533172",2,0,1,84,68,13
"PARP6|PARP6",64,175,193,3548,1741,1350
"HEXA|HEXA",137,264,639,727,313,374
"ARIH1|ARIH1",284,768,1052,1064,362,431
"BBS4|BBS4",47,195,260,850,437,334
"ADPGK|ADPGK",123,306,521,3254,1353,1425
"LOC101749321|LOC101749321",15,28,48,0,0,0
"NEO1|NEO1",95,214,395,9883,3898,3184
"LOC107052155|LOC107052155",0,0,0,1023,401,385
"ZP3L2|ZP3L2",0,0,0,917,392,395
"CD276|CD276",131,472,412,0,0,0
"MUC1|MUC1",5,0,8,2555,1036,1102
"NPTN|NPTN",560,1741,1413,51,17,22
"REC114|REC114",5,12,7,682,47,255
"MIR6625",0,1,1,4711,2503,3230
"MIR6625|MIR6625",4,13,13,259,165,248
"PPCDC|PPCDC",97,238,297,50184,27797,30086
"CPLX3|CPLX3",0,0,0,3581,1520,1592
"ULK3|ULK3",89,432,392,306710,245216,166635
"FAM219B|FAM219B",53,246,167,26172,15680,11796
"COX5A|COX5A",1190,5751,3338,91775,21945,24526
"MPI|MPI",139,552,405,107727,44910,48921
"SCAMP2|SCAMP2",380,2061,1763,19,9,10
"LOC112533225|LOC112533225",0,6,12,63,26,34
"CSK|CSK",331,1323,1460,21,10,13
"CYP1A1|CYP1A1",137,502,340,605,318,373
"CYP1A2|CYP1A2",1403,4695,4101,1693,1011,1338
"CLK3|CLK3",164,481,574,2646,1089,1157
"ARID3B|ARID3B",306,1092,1481,302,230,140
"ACTG1|ACTG1",444,1702,1837,0,0,0
"ISLR|ISLR",14,84,48,676,367,475
"SEMA7A|SEMA7A",163,441,1050,667,342,401
"UBL7|UBL7",134,487,487,21645,20154,22749
"STOML1|STOML1",35,145,210,647,206,228
"LOC112533178|LOC112533178",0,4,4,9607,3705,3460
"COMMD4|COMMD4",124,1050,567,1498,752,1015
"LOC107052152|LOC107052152",4,11,19,115,43,42
"NEIL1|NEIL1",96,445,165,527,240,257
"MAN2C1|MAN2C1",443,1431,1241,7,7,8
"SIN3A|SIN3A",270,605,1124,235,123,69
"PTPN9|PTPN9",83,260,283,38,22,12
"CSPG4|CSPG4",19,15,38,5454,2632,2728
"SNUPN|SNUPN",79,387,362,12,9,19
"MIR6575|MIR6575",3,0,3,331,107,86
"ERR2984226.14274|MIR6575",1,0,1,1167,693,783
"SNX33|SNX33",442,1729,1694,16,23,0
"PEAK1|PEAK1",327,520,1559,0,0,0
"LOC107052151|LOC107052151",0,28,22,231,101,119
"HMG20A|HMG20A",404,1027,1256,70,71,50
"LINGO1|LINGO1",22,22,65,0,0,0
"PSTPIP1|PSTPIP1",86,157,543,0,0,0
"TSPAN3|TSPAN3",1541,4662,5558,22329,9622,13511
"SCAPER|SCAPER",176,461,593,2626,1627,2025
"TMEM266|TMEM266",142,860,681,5,7,0
"NRG4|NRG4",62,283,288,16,9,0
"ETFA|ETFA",3691,12910,10900,1150,419,450
"FBXO22|FBXO22",361,1369,1706,452,157,172
"IREB2|IREB2",540,1380,2301,0,0,0
"WDR61|WDR61",171,542,650,2579,983,1145
"LOC107052133|LOC107052133",6,9,12,581,197,198
"DNAJA4|DNAJA4",310,1351,1542,14,0,7
"IDH3A|IDH3A",353,1303,1568,1003,578,523
"TBC1D2B|TBC1D2B",380,684,1414,5762,2556,2539
"DAPK2|DAPK2",191,433,708,901,369,307
"HERC1|HERC1",1817,3436,6843,1262,543,765
"LOC112533161|LOC112533161",7,13,16,710,344,507
"USP3|USP3",2123,6395,7789,410,129,111
"CA12|CA12",10,21,42,16,0,9
"RAB8B|RAB8B",1259,2425,5063,4,0,7
"LACTB|LACTB",333,908,1132,3625,1763,1889
"RPS27L|RPS27L",2522,10578,5940,0,0,0
"TPM1|TPM1",536,1677,1700,33,15,15
"LOC107052132|LOC107052132",5,14,14,677,395,514
"C2CD4A|C2CD4A",62,339,177,15,12,4
"TLN2|TLN2",819,1925,2549,5,5,0
"MIR190A|MIR190A",0,0,0,102,113,51
"MIR190A",0,0,0,475,277,155
"VPS13C|VPS13C",755,1501,2368,5501,7180,2148
"BNIP2|BNIP2",370,807,1680,4621,1809,1867
"GTF2A2|GTF2A2",145,637,552,64,19,15
"KLF13|KLF13",208,499,727,137,79,49
"OTUD7A|OTUD7A",21,56,86,37,44,27
"RORA|RORA",123,170,293,474,179,211
"LOC107052149|LOC107052149",8,7,16,2200,835,868
"ICE2|ICE2",18,92,145,15,16,4
"ANXA2|ANXA2",121,375,487,533,290,272
"MIR204-2|MIR204-2",0,0,0,4422,1785,1740
"MIR204-2",0,0,0,336,148,217
"FAM189A1|FAM189A1",4,9,32,5126,1959,1911
"FAN1|FAN1",64,330,423,75,39,39
"MPHOSPH10|MPHOSPH10",139,449,721,3330,1159,1148
"LOC112533175|LOC112533175",0,0,0,2055,754,637
"MCEE|MCEE",172,525,577,784,329,281
"TARSL2|TARSL2",186,664,934,266,126,90
"LARP6|LARP6",11,55,40,14,10,0
"TJP1|TJP1",317,697,1471,39,31,24
"TM2D3|TM2D3",117,476,556,0,0,0
"ADAL|ADAL",74,406,414,5,6,6
"CCNB2|CCNB2",42,152,139,264,118,86
"THSD4|THSD4",56,94,326,130,68,35
"MYO1E|MYO1E",115,376,320,0,0,0
"RNF111|RNF111",169,412,893,66,22,13
"LOC101748860|LOC101748860",0,8,15,119,77,39
"SLTM|SLTM",399,1204,1831,65,38,14
"FAM63B|FAM63B",388,1073,1430,35,30,11
"ADAM10|ADAM10",959,1664,3800,19910,8740,7790
"LIPC|LIPC",423,1262,513,450,172,147
"ALDH1A2|ALDH1A2",22,92,127,16,4,5
"AQP9|AQP9",5525,14829,20471,12,13,0
"ZNF280D|ZNF280D",340,758,1071,0,0,0
"MNS1|MNS1",50,74,155,0,0,0
"TEX9|TEX9",71,230,227,428,189,128
"CGNL1|CGNL1",599,1466,2491,3806,1846,1604
"TCF12|TCF12",801,1874,3758,0,0,0
"LOC112533177|LOC112533177",26,56,54,2467,914,953
"PYGO1|PYGO1",6,10,29,18570,9721,5454
"PRTG|PRTG",45,138,143,5,0,9
"RFX7|RFX7",230,624,1129,0,0,0
"NEDD4|NEDD4",460,1080,1357,1459,723,709
"RSL24D1|RSL24D1",243,1206,929,5543,2887,2974
"CCPG1|CCPG1",709,1861,3362,46,19,17
"DYX1C1|DYX1C1",33,106,59,1356,553,549
"PIGB|PIGB",90,182,361,263,97,138
"PIGBOS1|PIGBOS1",84,384,203,22359,10872,11329
"LOC107054177|LOC107054177",0,0,0,58,17,22
"WDR72|WDR72",11,66,47,7,4,0
"LOC112533195|LOC112533195",8,30,36,41,14,18
"ONECUT1|ONECUT1",129,209,414,52,28,34
"FAM214A|FAM214A",432,915,1763,50,23,19
"LOC112533216|LOC112533216",3,4,12,2432,972,1467
"ARPP19|ARPP19",1512,5290,5517,414,230,227
"GNB5|GNB5",14,37,101,26414,12241,15132
"MYO5A|MYO5A",251,473,1084,1120,401,299
"LEO1|LEO1",215,807,918,0,0,0
"MAPK6|MAPK6",1646,4492,5413,230,92,48
"TMOD2|TMOD2",11,30,50,72,44,32
"SCG3|SCG3",21,60,68,704,328,215
"TNFAIP8L3|TNFAIP8L3",10,21,51,0,0,0
"LOC112533155|LOC112533155",0,4,3,229,164,164
"AP4E1|AP4E1",288,717,1214,35,49,45
"DMXL2|DMXL2",119,407,889,400,122,145
"MYEF2|MYEF2",243,693,928,0,0,0
"SLC24A5|SLC24A5",10,18,59,0,0,0
"DUT|DUT",79,262,182,0,0,0
"SHC4|SHC4",6,14,29,305,118,106
"SEMA6D|SEMA6D",74,95,350,119,99,69
"LOC112533183|LOC112533183",0,0,0,1962,833,912
"ERR2984226.14489|MIR1744",1,0,1,1350,697,803
"CEP152|CEP152",28,81,184,124,52,28
"FBN1|FBN1",618,1300,2995,2458,1540,1753
"COPS2|COPS2",471,1091,1729,2452,741,636
"LOC112533212|LOC112533212",0,0,0,44835,14536,14611
"GALK2|GALK2",581,1669,2243,743,327,286
"DTWD1|DTWD1",137,476,473,0,0,0
"MIR147-1|MIR147-1",6,13,32,1047,392,333
"ERR2984226.14501|MIR147-1",1,1,1,46,12,15
"SLC30A4|SLC30A4",841,2483,3300,20415,10004,4957
"BLOC1S6|BLOC1S6",313,871,1008,5296,2510,2142
"ITGB1BP3|ITGB1BP3",1912,8103,7384,111,49,35
"SPPL2A|SPPL2A",1559,4544,5441,3,0,4
"HDC|HDC",11,33,92,54335,36813,25593
"GABPB1|GABPB1",302,956,1210,19,19,48
"MIR6596|MIR6596",0,0,0,60,32,20
"TRPM7|TRPM7",1270,3348,4724,0,0,0
"USP50|USP50",48,150,222,10426,7694,6882
"USP8|USP8",450,1006,1711,26,9,9
"FSD2|FSD2",80,285,261,170,148,56
"WHAMM|WHAMM",189,574,753,630,310,225
"PDE8A|PDE8A",198,657,602,279,229,198
"LOC112533163|LOC112533163",7,0,7,1124,706,397
"GATM|GATM",3395,15267,10512,190,115,115
"FAM103A1|FAM103A1",277,707,714,1,1,0
"C10H15orf40|C10H15orf40",420,1321,1297,50,69,21
"HOMER2|HOMER2",192,712,927,1122,491,351
"LOC107054193|LOC107054193",5,20,12,1502,857,733
"BTBD1|BTBD1",333,1268,1462,520,265,298
"LOC107054195|LOC107054195",0,0,0,666,295,286
"LMINA|LMINA",87,303,317,663,281,221
"HDGFRP3|HDGFRP3",49,70,154,0,0,0
"TM6SF1|TM6SF1",1444,5274,5879,3569,1821,1514
"STARD5|STARD5",192,753,708,13,12,0
"ADAMTSL3|ADAMTSL3",5,12,20,146,91,53
"SAXO2|SAXO2",0,0,0,359,164,244
"EFL1|EFL1",300,981,1577,0,0,0
"MESDC1|MESDC1",180,705,776,20,11,8
"LOC107054200|LOC107054200",38,89,119,0,0,0
"CFAP161|CFAP161",0,0,0,366,190,179
"IL16|IL16",122,134,568,359,177,176
"mesd|mesd",472,1059,1633,1,0,1
"ABHD17C|ABHD17C",186,597,757,5813,3135,1770
"ARNT2|ARNT2",58,142,229,425,201,151
"CEMIP|CEMIP",838,810,3009,2363,1079,797
"LOC415478|LOC415478",171,270,597,15,4,13
"BCL2A1|BCL2A1",13,56,100,1563,719,686
"FAH|FAH",2234,9258,6954,673,295,68
"ZFAND6|ZFAND6",452,1236,1632,5182,3463,851
"LOC112533223|LOC112533223",34,84,82,1744,689,737
"LOC107054202|LOC107054202",0,0,0,681,322,269
"KIAA1024|KIAA1024",0,10,12,1621,598,581
"KIF7|KIF7",108,507,587,3145,1086,900
"PLIN1|PLIN1",61,284,209,64,55,18
"PEX11A|PEX11A",219,1047,863,864,333,551
"LOC107054203|LOC107054203",6,19,33,498,259,252
"POLG|POLG",242,860,968,208,98,86
"FANCI|FANCI",30,70,106,847,512,435
"ABHD2|ABHD2",6259,16317,27698,8,6,0
"HAPLN3|HAPLN3",21,141,135,684,406,304
"AEN|AEN",50,257,211,283,179,106
"LOC101751754|LOC101751754",33,17,102,10,20,6
"MRPS11|MRPS11",248,1028,724,624,176,203
"MRPL46|MRPL46",233,1018,791,2267,720,607
"LOC101751792|LOC101751792",21,59,78,407,202,140
"MFGE8|MFGE8",8542,50325,47030,3,3,3
"LOC107054207|LOC107054207",0,0,0,2135,713,803
"KLHL25|KLHL25",401,1572,1491,40,9,21
"SLCO3A1|SLCO3A1",20,31,96,0,0,0
"LOC101747585|LOC101747585",0,0,0,59,44,65
"FAM174B|FAM174B",193,396,683,20,22,28
"LOC112533185|LOC112533185",18,35,33,351,195,160
"RGMA|RGMA",6,23,21,7431,3860,3755
"MIR1611|MIR1611",1,0,2,849,335,411
"ERR2984226.14611|MIR1611",1,0,1,1632,1214,884
"LOC101748621|LOC101748621",0,11,13,397,261,316
"LOC101749500|LOC101749500",0,0,0,2776,1206,1162
"LOC107054251|LOC107054251",29,68,124,16294,6533,6350
"NR2F2|NR2F2",238,694,909,1999,773,700
"ARRDC4|ARRDC4",356,432,1099,19,15,24
"MIR1813-2",0,0,0,293,100,111
"LOC112533186|LOC112533186",15,6,27,563,395,338
"SYNM|SYNM",67,86,346,32,15,7
"IGF1R|IGF1R",65,57,281,4489,2331,2061
"FAM169B|FAM169B",410,1299,1097,2864,1093,1355
"PGPEP1L|PGPEP1L",360,876,1224,1786,773,809
"LRRC28|LRRC28",89,282,337,20,12,23
"LOC101749253|LOC101749253",17,57,57,1506,817,769
"MEF2A|MEF2A",226,582,852,35,33,18
"MIR1737",0,0,0,2043,1035,1102
"MIR1737|MIR1737",1,0,1,755,352,200
"LYSMD4|LYSMD4",495,1376,1762,6328,3071,3068
"CERS3|CERS3",42,86,123,9336,2676,4786
"ASB7|ASB7",84,363,450,13266,4810,5722
"ALDH1A3|ALDH1A3",34,199,225,19,14,16
"ADAMTS17|ADAMTS17",137,540,811,9763,5568,6847
"LOC112533190|LOC112533190",9,12,31,1827,604,628
"SNRPA1|SNRPA1",170,851,654,2642,1513,1122
"LOC112533173|LOC112533173",65,187,251,13,0,10
"LOC101750410|LOC101750410",0,0,0,360,178,94
"CHSY1|CHSY1",127,380,572,3432,1058,1956
"SELENOS|SELENOS",908,4554,3852,0,0,0
"PLEKHO2|PLEKHO2",206,238,997,0,0,0
"PCSK6|PCSK6",1017,4986,4973,4188,1501,2039
"LOC107054246|LOC107054246",0,0,0,1956,1032,1159
"ANKDD1A|ANKDD1A",50,130,180,492,297,326
"SPG21|SPG21",382,1156,1577,22,14,19
"UBAP1L|UBAP1L",3,18,20,333,582,126
"CLPX|CLPX",1692,4858,5412,216,103,87
"PDCD7|PDCD7",296,1116,899,595,391,404
"MTFMT|MTFMT",92,356,297,72,68,29
"CILP|CILP",15,8,19,1212,622,789
"PARP16|PARP16",244,847,746,0,0,0
"RASL12|RASL12",21,95,71,0,0,0
"SLC51B|SLC51B",2449,12967,12101,0,0,0
"MIR1722|MIR1722",0,0,0,516,211,263
"MIR1722",0,0,0,6460,2500,3015
"IGDCC4|IGDCC4",582,1994,2598,4,0,2
"DPP8|DPP8",403,975,1600,695,295,460
"VWA9|VWA9",167,611,669,940,307,433
"HACD3|HACD3",1729,5013,5939,1927,781,1092
"DIS3L|DIS3L",240,643,901,597,325,334
"LOC107054243|LOC107054243",5,20,22,486,212,301
"TIPIN|TIPIN",173,622,470,80,66,104
"TRNAQ-CUG_3",0,0,0,323,158,152
"MEGF11|MEGF11",0,18,12,250,115,106
"RAB11A|RAB11A",1087,3481,4093,31,17,20
"MAP2K1|MAP2K1",504,1533,1878,719,260,346
"ZWILCH|ZWILCH",112,359,354,1039,448,516
"LOC107054215|LOC107054215",0,0,0,2466,868,868
"LOC107054216|LOC107054216",0,0,0,2213,994,1159
"SMAD6|SMAD6",139,636,577,5686,2475,2289
"LOC112533231|LOC112533231",0,1,2,154,84,124
"RPL4|RPL4",6799,32834,23687,1182,634,770
"LOC112533232|LOC112533232",2,4,5,299,195,196
"SMAD3|SMAD3",59,118,181,143,54,72
"IQCH|IQCH",10,30,23,1393,493,599
"AAGAB|AAGAB",261,939,1043,78,71,80
"MAP2K5|MAP2K5",161,483,537,5009,2045,2152
"C15orf61|C15orf61",56,361,257,3633,1714,2445
"PIAS1|PIAS1",395,1087,1462,23,11,33
"MIR1642|MIR1642",0,0,0,395,62,175
"MIR1642",0,0,0,1418,454,619
"CALML4|CALML4",764,3838,2274,2305,717,1308
"MIR6550",0,0,0,550,275,261
"FEM1B|FEM1B",346,1295,1652,4893,1925,2835
"ITGA11|ITGA11",9,32,38,429,383,207
"LOC107054235|LOC107054235",0,0,0,307,615,202
"CORO2B|CORO2B",12,29,33,1081,514,568
"PAQR5|PAQR5",9,13,37,0,0,0
"LOC101749254|LOC101749254",0,0,0,162,21,110
"GLCE|GLCE",549,2363,2389,102,76,14
"LOC112533218|LOC112533218",0,0,0,29,12,14
"NOX5|NOX5",739,1644,2311,531,173,148
"LOC112533219|LOC112533219",0,0,0,2517,1226,1363
"LOC107054234|LOC107054234",17,11,25,8148,3264,2831
"KIF23|KIF23",33,32,48,90,38,31
"LOC107054232|LOC107054232",0,9,16,110,105,43
"TLE3|TLE3",156,647,532,780,542,0
"LOC112533159|LOC112533159",66,147,110,1370,525,602
"UACA|UACA",267,660,945,1145,435,529
"ADAMTS7|ADAMTS7",39,84,101,8395,2887,3196
"FAM96A|FAM96A",173,775,636,62,35,40
"MORF4L1|MORF4L1",954,3791,3418,2227,1353,1219
"CTDSPL2|CTDSPL2",130,640,745,106,46,94
"SPG11|SPG11",431,1141,1950,2472,1507,1271
"EIF3J|EIF3J",852,3431,3181,45,55,19
"WDR76|WDR76",45,162,83,8,5,1
"BLM|BLM",38,172,222,0,0,0
"CASC4|CASC4",1145,3963,5132,820,290,554
"LOC107054226|LOC107054226",16,36,122,939,473,702
"CTSH|CTSH",711,2126,2745,86,33,33
"TMED3|TMED3",500,4063,2462,11,7,0
"AP3S2|AP3S2",299,1902,1150,33,6,15
"ANPEP|ANPEP",3306,11007,9859,340,136,133
"SEMA4B|SEMA4B",293,1667,1522,777,500,1175
"ZNF710|ZNF710",109,385,509,0,0,0
"IDH2|IDH2",4366,20131,16815,8,3,6
"PRC1|PRC1",60,220,247,1,1,1
"RCCD1|RCCD1",31,139,85,272,192,443
"UNC45A|UNC45A",211,641,894,21,25,20
"CIB1|CIB1",549,3071,2137,215,79,129
"GDPGP1|GDPGP1",8,16,8,2672,1429,1699
"HDDC3|HDDC3",37,180,129,6,6,0
"VPS33B|VPS33B",477,1906,1856,0,0,0
"FES|FES",68,141,446,3663,1382,1604
"MAN2A2|MAN2A2",306,1667,1412,694,322,403
"MFAP1|MFAP1",337,1018,1035,18,8,8
"FURIN|FURIN",1713,6169,7462,21,21,21
