gene_id,ERR2984230,ERR2984231,ERR2984232,ERR2984233,ERR2984242,ERR2984243,ERR2984244,ERR2984245
KIAA1324L|KIAA1324L,3788,1238,4806,1010,6314,2120,4751,3930
SEMA3A|SEMA3A,6,0,0,0,21,7,8,11
PCLO|PCLO,0,0,0,0,0,0,0,0
LOC107055502|LOC107055502,0,0,0,0,0,0,0,0
LOC107055432|LOC107055432,0,0,0,0,0,0,0,0
LOC107057089|LOC107057089,0,7,13,0,15,0,0,8
HGF|HGF,96,48,94,33,220,90,75,107
LOC112532986|LOC112532986,10,6,0,4,6,0,11,0
SEMA3C|SEMA3C,51,27,68,42,65,72,34,39
CACNA2D1|CACNA2D1,112,52,56,27,210,136,166,134
LOC112532984|LOC112532984,0,0,0,0,0,0,0,0
GNAI1|GNAI1,167,118,191,86,336,287,171,114
PHTF2|PHTF2,271,83,124,79,390,262,217,175
CD36|CD36,11467,5821,9864,6765,24548,11958,11401,11185
TMEM60|TMEM60,238,267,241,214,356,216,239,315
MAGI2|MAGI2,52,44,45,13,140,60,70,69
RSBN1L|RSBN1L,551,407,476,276,1276,481,513,570
PTPN12|PTPN12,1112,793,1202,724,2222,807,886,980
ARMC10|ARMC10,37,30,67,38,64,35,60,44
FBXL13|FBXL13,0,0,0,0,5,0,4,0
LRRC17|LRRC17,11,8,0,0,21,20,11,4
NAPEPLD|NAPEPLD,605,374,607,371,1163,612,557,740
GSAP|GSAP,907,537,608,497,1762,691,719,868
CCDC146|CCDC146,26,3,14,12,14,37,0,14
LOC107051625|LOC107051625,5,290,165,90,11,0,8,116
LOC107051626|LOC107051626,20,6,5,10,7,10,0,11
FGL2|FGL2,621,114,302,94,929,758,541,623
FAM185A|FAM185A,193,69,161,100,393,156,231,202
DNAJC2|DNAJC2,930,840,1122,880,1513,746,845,788
PMPCB|PMPCB,1120,875,1337,951,2010,908,808,1011
PSMC2|PSMC2,3117,2392,3681,2839,5694,2571,2306,2534
ORC5|ORC5,142,139,212,89,299,118,134,134
TRNAG-CCC,0,0,0,0,0,0,0,0
LHFPL3|LHFPL3,0,4,3,0,18,13,5,3
RELN|RELN,785,430,498,250,2134,751,567,719
SLC26A5|SLC26A5,4327,1848,3721,1273,9860,5605,4076,5140
LOC112533002|LOC112533002,8,0,0,1,14,6,4,14
LOC101752215|LOC101752215,208,159,60,79,379,131,99,119
KMT2E|KMT2E,2412,1347,1336,787,3864,1428,2279,2341
LOC107051628|LOC107051628,43,79,27,87,74,40,60,52
SRPK2|SRPK2,440,343,380,260,912,403,203,452
LOC107051629|LOC107051629,0,0,0,0,0,0,0,0
LOC107051627|LOC107051627,34,9,18,4,66,19,14,41
PUS7|PUS7,737,649,758,503,1293,435,387,423
EFCAB10|EFCAB10,0,0,0,8,11,9,12,7
RINT1|RINT1,470,255,366,314,833,275,368,296
LOC107051631|LOC107051631,4,0,0,0,0,0,0,0
CCDC71L|CCDC71L,232,278,268,270,628,322,243,198
ATXN7L1|ATXN7L1,985,610,657,465,1941,718,895,748
CDHR3|CDHR3,25,19,18,32,55,45,51,46
LOC112533020|LOC112533020,7,0,0,4,0,0,0,8
SYPL1|SYPL1,528,623,825,500,1569,399,470,682
LOC107051630|LOC107051630,11,3,4,0,10,9,10,8
NAMPT|NAMPT,3457,2512,3337,2215,7800,2300,3298,2248
PRKAR2B|PRKAR2B,198,183,143,78,330,118,146,115
PIK3CG|PIK3CG,1938,1053,1953,983,4010,1729,1725,1653
GPR22|GPR22,0,0,0,0,0,0,0,3
HBP1|HBP1,1293,587,916,307,2702,1105,1483,1566
COG5|COG5,666,604,591,529,1269,564,538,595
DUS4L|DUS4L,333,264,287,260,537,228,412,366
LOC112533028|LOC112533028,14,0,0,0,0,0,3,0
SLC26A4|SLC26A4,5,0,0,0,4,6,0,3
SLC26A3|SLC26A3,7,9,2,9,5,0,11,8
CBLL1|CBLL1,491,336,379,300,733,324,300,255
MIR2126|MIR2126,0,0,0,0,0,1,1,0
MIR2126,0,0,0,0,0,1,1,0
BCAP29|BCAP29,2375,1837,1877,1802,4084,2476,2299,2354
DLD|DLD,5540,3267,5357,4061,9759,3772,3861,4747
LRRK2|LRRK2,407,173,214,76,671,189,211,248
LAMB4|LAMB4,27,7,21,11,41,11,21,21
ERGIC2|ERGIC2,2150,2345,2897,1981,4542,2046,2416,2399
LAMB1|LAMB1,707,288,610,215,1253,638,462,361
LOC112533030|LOC112533030,3,0,0,0,14,10,4,5
SLC2A13|SLC2A13,1469,1033,1850,926,3730,1147,1297,1393
C12orf40|C12orf40,69,26,40,25,123,54,47,57
LOC107051632|LOC107051632,5,0,0,0,3,0,0,0
ABCD2|ABCD2,1448,856,1172,906,3222,1530,1485,1821
LOC107051634|LOC107051634,273,440,248,711,467,406,508,274
SIIL|SIIL,0,3,0,0,0,0,0,0
KIF21A|KIF21A,2320,1695,2737,1513,5960,2413,2883,2370
LOC107051635|LOC107051635,9,27,0,0,13,5,10,0
CPNE8|CPNE8,613,423,581,414,1375,678,697,880
GTSE1|GTSE1,53,19,30,26,93,12,13,20
ALG10|ALG10,319,209,305,200,625,285,261,350
TPRKB|TPRKB,362,311,431,316,547,250,256,345
TRMU|TRMU,483,329,351,319,688,296,383,287
HIST1H2B5L|HIST1H2B5L,114,127,159,47,222,109,92,59
GRAMD4|GRAMD4,227,161,305,81,613,167,131,201
CELSR1|CELSR1,758,503,591,279,1301,419,585,378
LOC107051636|LOC107051636,411,30,782,203,107,494,15,27
CERK|CERK,1077,763,1142,834,2306,925,946,934
LOC107049439|LOC107049439,0,0,8,0,0,7,0,0
TBC1D22A|TBC1D22A,913,518,725,435,1828,649,790,783
FAM19A5|FAM19A5,4,0,0,0,0,2,0,0
LOC107051638|LOC107051638,0,0,6,0,0,0,0,0
LOC112533144|LOC112533144,0,0,0,0,0,0,0,0
LOC107051639|LOC107051639,0,0,0,0,0,0,0,0
BRD1|BRD1,666,591,572,413,1538,740,836,871
ZBED4|ZBED4,743,420,775,382,1457,572,420,493
LOC112533146|LOC112533146,0,0,0,0,0,0,0,0
LOC112533145|LOC112533145,0,0,0,0,0,0,0,0
LOC112533147|LOC112533147,157,94,137,103,200,106,224,221
PIM3|PIM3,1983,1025,2164,1091,2220,1342,2039,2187
ALG12|ALG12,6163,3499,5923,3496,12037,5586,5616,6074
CRELD2|CRELD2,5727,3905,7859,5486,13899,6663,2843,3064
