"genes","logFC","logCPM","PValue","FDR"
"NEDD4L",-12.4576803297316,3.34698143438696,8.40551226635922e-73,7.54946224636185e-72
"LOC107054775",13.9825865571007,4.88352866897813,8.69824803240866e-73,7.80758590280023e-72
"CHCHD7",-6.75574232024427,4.95786894393849,8.95376905999753e-73,8.03200904074548e-72
"TMEM33",-6.2564411019466,4.64783837982572,9.36591394042026e-73,8.39657057738412e-72
"MIR367",15.5583399745553,6.45449716121945,9.63499037530275e-73,8.63250241289387e-72
"MYEF2",-12.4182534680538,3.30784074489871,9.92631574442284e-73,8.88806691012567e-72
"AK2",-8.35643068078337,5.7726898750104,1.01337282243565e-72,9.06822844718443e-72
"LOC107054063",13.6800562690494,4.58256447897936,1.06106031160145e-72,9.48353265162418e-72
"PDE9A",7.23859370820118,4.77279781042006,1.06108094747181e-72,9.48353265162418e-72
"CHIA-M31",-13.6736982206809,4.56689275122798,1.06673458855833e-72,9.5282350504908e-72
"CUL5",-12.9807386358018,3.87054976623744,1.13464702490051e-72,1.01286481214851e-71
"MIR1698-1",13.2613855683408,4.16663830782228,1.14989059863397e-72,1.02584562379965e-71
"MIR1562",10.6044924136344,4.28389231939215,1.17097694635175e-72,1.04401989731776e-71
"CHFR",-12.9579757796134,3.8467503531044,1.22947074071052e-72,1.09550341060992e-71
"LRTOMT",6.19189122314465,4.98797475159212,1.29425327165797e-72,1.15252425708336e-71
"CDH20",12.6778278992282,3.58818427084885,1.30171555131099e-72,1.15846341968986e-71
"LOC107052428",12.8526264249405,3.76131429945275,1.37003481581269e-72,1.21852214019908e-71
"CTSZ",-6.01549911752445,6.78388284343768,1.45421385931515e-72,1.29260505633651e-71
"WASHC5",-12.6567210469868,3.54754402853862,1.55034827121257e-72,1.37721819375254e-71
"LOC107056037",12.7038228352543,3.61370586892478,1.61956606022168e-72,1.43783225018344e-71
"SERHL2",-12.4620652520086,3.35184954201711,1.6616828831201e-72,1.47432738136211e-71
"MIR6623",12.5762197455345,3.48758256637551,1.7097790303444e-72,1.51608015597225e-71
"MYO1D",-7.20738486355449,4.86865277443147,1.73329671481219e-72,1.53600150961495e-71
"CDA",-13.3255824884963,4.21699231790104,1.80960854201534e-72,1.60265512875577e-71
"MLLT1",-9.57827828445722,3.53638874369615,1.91155063978296e-72,1.69191335549051e-71
"LOC112532733",14.430899371523,5.33000701803739,1.91985600633243e-72,1.69823582448764e-71
"LOC107054251",6.71960427892795,6.95977353100891,1.92441328761747e-72,1.70123722758343e-71
