genes	rank
RETSAT|RETSAT	-3.1817401820862
LOC101749423|LOC101749423	3.17329802246163
TBRG4|TBRG4	-3.17219159367032
LDLRAD3|LDLRAD3	-3.17080419843415
TCP11L2|TCP11L2	3.16940241177479
ARHGEF18|ARHGEF18	3.16525684747408
KIAA1551|KIAA1551	3.16365738684767
LOC112532889|LOC112532889	-3.16204253112125
NBEAL1|NBEAL1	3.16093954805643
CCSER1|CCSER1	3.16023295680013
CDCA9|CDCA9	3.15428340888114
THOC3|THOC3	-3.1541268439871
LRP6|LRP6	3.14696571885296
CYLD|CYLD	3.14242854716727
IDH1|IDH1	3.13596769575811
IPO4|IPO4	3.13492493207672
MAML3|MAML3	3.13335219845631
LOC107057318|LOC107057318	-3.13078118387517
MRPL45|MRPL45	-3.1307643092231
NAALADL2|NAALADL2	3.12880524641231
PNPLA3|PNPLA3	-3.12222146176806
HARS|HARS	-3.11980687832684
PANK1|PANK1	3.1188055753022
NDUFS2|NDUFS2	-3.11775991524309
SLC16A2|SLC16A2	3.1167238243988
TUBA1A1|TUBA1A1	-3.11070386639808
SKA3|SKA3	-3.11008029781018
NDUFAB1|NDUFAB1	-3.10918221677304
LOC107052392|LOC107052392	-3.10835089465981
SAR1A|SAR1A	-3.10598819384745
MRPL4|MRPL4	-3.10321846634989
LOC101751159|LOC101751159	3.09780992146542
ACY1|ACY1	-3.09656323436151
TTC21B|TTC21B	3.09629580339774
AKR1E2|AKR1E2	-3.09623448116834
UTP14A|UTP14A	-3.09426979483396
DNAJC12|DNAJC12	3.08374820422807
FOXP2|FOXP2	3.08177053493234
FAXDC2|FAXDC2	3.0770132881657
LTK|LTK	3.07609756027904
FAM134B|FAM134B	3.07456686034764
TMEM116|TMEM116	3.07157483734922
MCTS1|MCTS1	-3.06700882725108
PDZD7|PDZD7	-3.06397653074675
TBC1D32|TBC1D32	3.05999725813699
NECTIN3|NECTIN3	3.05790790436362
CCDC102A|CCDC102A	-3.05665859176026
PRKD3|PRKD3	3.05444981991422
LOC107053051|LOC107053051	3.05150049682384
ALYREF|ALYREF	-3.03774089731424
PANX2|PANX2	-3.03669993616512
GNMT|GNMT	-3.03585510847062
PCMTD2|PCMTD2	3.03548847489398
LOC107050595|LOC107050595	-3.03439864165087
GTF3C6|GTF3C6	-3.03186586606531
TBCEL|TBCEL	3.03165346021073
HSPA13|HSPA13	-3.03110818295279
LOC101749109|LOC101749109	3.02876982543641
SC5D|SC5D	-3.02112494468221
PPFIBP2|PPFIBP2	3.02097773042788
PPARGC1A|PPARGC1A	3.01990148175101
FAM13A|FAM13A	3.01342447894814
SNRPF|SNRPF	-3.01003772401582
RCOR3|RCOR3	3.00757607866538
DAZAP1|DAZAP1	-3.00654684120159
PHB|PHB	-3.00167152722026
HSPA5|HSPA5	-2.99720488305269
OPN2SW|OPN2SW	-2.99620619974832
EIF2A|EIF2A	-2.99162210319497
CACNA1H|CACNA1H	2.98141274009588
HNF4G|HNF4G	2.97762646598369
NIF3L1|NIF3L1	-2.97725307065822
HIC2|HIC2	2.97378645384783
MRPL47|MRPL47	-2.97056216366035
SEC14L3|SEC14L3	-2.9703604536095
BAAT|BAAT	-2.96365424695739
CASP18|CASP18	2.96269316148756
GYS2|GYS2	2.96082170314843
LOC112530898|LOC112530898	-2.96012577095923
KLF9|KLF9	-2.95971255452411
TWNK|TWNK	-2.95640880980541
PRR7|PRR7	-2.95591585240964
NDUFA8|NDUFA8	-2.95147313664737
CEP135|CEP135	2.94774315964985
ENTPD7|ENTPD7	-2.94123562564098
ILKAP|ILKAP	-2.93586016780169
EVI5|EVI5	2.93269539917315
BAG4|BAG4	-2.93102617200632
HOGA1|HOGA1	-2.92963290691448
SGF29|SGF29	-2.92911993700945
SEC14L2|SEC14L2	-2.92710118285885
LOC112530098|LOC112530098	-2.92593042028129
ITPKA_1|ITPKA	2.91618824098022
SLC25A5|SLC25A5	-2.91488838523149
BCL6|BCL6	-2.90897028757324
LOC112530473|LOC112530473	2.90845494916155
NAV2|NAV2	2.90540348298171
KDR|KDR	2.90494314139507
RBP5|RBP5	-2.9028731253211
RIOK1|RIOK1	-2.90223578679895
MRPS31|MRPS31	-2.89888927619849
LOC101752163|LOC101752163	2.89865559535063
LOC100859273|LOC100859273	-2.89688842284704
TNFSF10|TNFSF10	2.89479230575426
TIAM2|TIAM2	2.89002837057872
TUBA3E|TUBA3E	-2.88488700430598
NUDT14|NUDT14	2.88173427218538
PPARG|PPARG	2.88155912125189
MC5R|MC5R	2.88143075589185
LPCAT3|LPCAT3	-2.8798066450998
LOC101751268|LOC101751268	2.87887945241832
CYP2C23b|CYP2C23b	2.87857844940612
C28H19ORF44|C28H19ORF44	2.87457120933441
NCAPH2|NCAPH2	-2.87216092722571
AURKAIP1|AURKAIP1	-2.86198314087449
UQCRQ|UQCRQ	-2.85679938871457
DGKQ|DGKQ	2.8535519610621
SRP9|SRP9	-2.85185191375167
STOML2Z|STOML2Z	-2.85098775425838
LOC112531158|LOC112531158	-2.84893343817772
LOC107053667|LOC107053667	2.84519693626137
GALR1L|GALR1L	2.84502284502431
FEN1|FEN1	-2.84315228681553
CCT3|CCT3	-2.84161752046714
LGR6|LGR6	2.84011774211995
HPF1|HPF1	-2.83949503025387
MDH2|MDH2	-2.83570168432701
FAHD2AL|FAHD2AL	-2.83137347742425
ESRP2|ESRP2	2.82574744306088
CDK2|CDK2	-2.82291225233071
CIC|CIC	-2.81706471791236
ALDOC|ALDOC	-2.81697611303016
CCDC61|CCDC61	-2.81549816067235
LOC107049485|LOC107049485	-2.81210568007996
WDFY2|WDFY2	2.81105443673336
MRPL12|MRPL12	-2.80777924404896
RUSC2|RUSC2	2.80634703935791
GMPPA|GMPPA	-2.80622645349028
NMT1|NMT1	-2.79495268223467
POLR3D|POLR3D	-2.79300782412813
MRPL27|MRPL27	-2.79035890617324
RASSF9|RASSF9	2.78803856503212
QPRT|QPRT	-2.78777219991336
SLC22A5|SLC22A5	2.78285960829818
TUSC1|TUSC1	2.78128196941857
UBE2M|UBE2M	-2.77673752661051
CYP3A4|CYP3A4	2.77335101048796
RFX3|RFX3	2.77317217737248
LOC107054625|LOC107054625	-2.7717856445426
PUS7|PUS7	-2.76845052137738
NCOA7|NCOA7	2.7659553284158
RABGGTB|RABGGTB	2.76550013279338
NMRK2|NMRK2	-2.76373282648309
AN1ZNF5L|AN1ZNF5L	-2.7622001078502
GPR156|GPR156	-2.76219113775452
LSM1|LSM1	-2.76176022681679
RNF19A|RNF19A	2.76062784584139
RBM8A|RBM8A	-2.76060883106146
PARL|PARL	-2.75898245399266
UBL5|UBL5	-2.75783784264933
PAN3|PAN3	2.75387353338912
HECW1|HECW1	2.75252261654139
CD86|CD86	2.75251766673512
RTN4IP1|RTN4IP1	-2.74952624465023
CISH|CISH	2.73961519099194
MRPL41|MRPL41	-2.73891495107473
SARS|SARS	-2.73335747445013
NUS1|NUS1	-2.73315689792917
CARNS1|CARNS1	-2.73223124764165
PRELID3B|PRELID3B	-2.73152448784989
