gene_id,ERR2984226,ERR2984227,ERR2984230,ERR2984246,ERR2984239,ERR2984238,ERR2984244,ERR2984249
TMEM168|TMEM168,357,715,621,1157,1686,1232,902,1042
FOXP2|FOXP2,325,741,521,1249,2038,1457,809,1571
LOC112533189|LOC112533189,0,5,0,0,7,0,3,0
ZNF277|ZNF277,56,211,122,243,383,266,125,198
IFRD1|IFRD1,698,4044,2304,4126,8444,7936,4240,2934
DOCK4|DOCK4,69,120,85,354,269,125,187,125
DNAJB9|DNAJB9,433,1944,909,2756,4133,3432,576,1271
THAP5|THAP5,106,420,306,805,1186,897,305,518
PNPLA8|PNPLA8,248,455,465,790,1659,970,940,899
IMMP2L|IMMP2L,123,451,227,431,1020,482,282,362
LRRN3|LRRN3,0,0,0,8,0,0,0,0
CNTN1|CNTN1,0,0,3,21,20,19,0,4
GXYLT1|GXYLT1,94,253,155,471,615,365,244,296
YAF2|YAF2,113,323,300,444,603,496,280,415
PDZRN4|PDZRN4,9,0,1,10,9,8,10,0
ZCRB1|ZCRB1,136,498,398,602,1087,690,398,465
PPHLN1|PPHLN1,133,331,257,443,655,465,306,380
MIR7447,0,0,1,0,0,0,0,0
MIR7447|MIR7447,0,1,2,0,0,0,0,0
PRICKLE1|PRICKLE1,39,66,60,154,185,103,83,77
PUS7L|PUS7L,118,275,116,316,663,344,201,198
IRAK4|IRAK4,181,640,319,807,1443,765,446,459
TWF1|TWF1,297,1188,627,1061,1587,1205,628,853
ANO6|ANO6,3,10,0,36,33,28,16,9
LOC112533246|LOC112533246,23,50,30,107,181,60,111,202
NELL2|NELL2,342,816,389,1110,1943,1151,754,978
LOC101749362|LOC101749362,90,314,218,300,790,433,353,567
ARID2|ARID2,242,557,386,828,1119,995,683,828
LOC107052702|LOC107052702,0,0,0,0,0,0,0,0
SLC38A1|SLC38A1,213,321,176,801,501,304,333,432
LOC107052706|LOC107052706,0,0,0,8,5,0,0,0
SCAF11|SCAF11,858,2754,1557,3347,3994,4012,1766,2767
LOC112531641|LOC112531641,2,0,0,0,0,0,0,0
LOC101749506|LOC101749506,0,9,8,10,0,10,10,10
SLC38A2|SLC38A2,2229,8528,5231,12103,13666,12468,5964,8828
AMIGO2|AMIGO2,33,20,20,87,173,51,58,55
LOC112533249|LOC112533249,11,12,11,41,283,99,84,79
LOC112531642|LOC112531642,1,0,1,0,2,0,0,2
LRIG3|LRIG3,0,6,8,19,45,27,14,0
SLC16A7|SLC16A7,67,116,55,375,678,133,179,151
ATP23|ATP23,397,1387,813,1333,2469,1714,907,1347
RPAP3|RPAP3,209,600,444,703,1406,850,487,602
LOC112533248|LOC112533248,0,2,0,5,0,15,6,6
SLC38A4|SLC38A4,6078,17438,11371,22508,45004,25532,22967,22394
LOC101749586|LOC101749586,531,2427,1351,965,3000,3375,1378,1302
FAM19A2|FAM19A2,6,10,9,16,23,10,21,10
USP15|USP15,523,1290,962,2497,3245,2159,1593,1904
LOC107052719|LOC107052719,7094,21349,6939,22901,13856,11924,6807,17540
LOC107052718|LOC107052718,4107,16245,5641,16273,15566,12350,6585,14792
TMEM5|TMEM5,61,200,208,227,489,267,196,299
MON2|MON2,995,2024,1413,4419,4897,3520,2616,3265
PPM1H|PPM1H,119,303,225,623,744,507,460,583
SRGAP1|SRGAP1,68,127,68,338,417,237,165,292
