gene_id,CN_2w_2,CN_2w_1,CN_3hr_3,CN_4w_1,HT_3hr_1,HT_3hr_2,HT_3hr_3,HT_3hr_4
DNAJC2|DNAJC2,365,1523,843,1520,21,20,11,4
PMPCB|PMPCB,440,1478,883,1698,1163,612,557,740
PSMC2|PSMC2,1152,4770,2394,4264,1762,691,719,868
ORC5|ORC5,45,262,142,341,14,37,0,14
TRNAG-CCC,0,0,0,0,11,0,8,116
RELN|RELN,209,416,434,1082,7,10,0,11
SLC26A5|SLC26A5,1441,1899,1864,4810,929,758,541,623
LOC112533002|LOC112533002,5,0,0,16,393,156,231,202
LOC101752215|LOC101752215,93,189,159,243,1513,746,845,788
KMT2E|KMT2E,895,1754,1347,2907,2010,908,808,1011
LOC107051628|LOC107051628,24,131,79,123,5694,2571,2306,2534
SRPK2|SRPK2,180,405,343,776,299,118,134,134
LOC107051629|LOC107051629,0,0,0,0,0,0,0,0
LOC107051627|LOC107051627,13,16,9,36,18,13,5,3
EFCAB10|EFCAB10,0,5,0,0,2134,751,567,719
RINT1|RINT1,127,475,257,636,9860,5605,4076,5140
PUS7|PUS7,312,794,650,1114,14,6,4,14
CCDC71L|CCDC71L,118,498,278,385,379,131,99,119
LOC112533020|LOC112533020,0,0,0,6,3864,1428,2279,2341
ATXN7L1|ATXN7L1,369,962,611,1495,74,40,60,52
CDHR3|CDHR3,7,42,19,61,912,403,203,452
LOC107051630|LOC107051630,0,0,3,9,0,0,0,0
SYPL1|SYPL1,325,1145,623,1283,66,19,14,41
NAMPT|NAMPT,1209,3878,2512,5291,1293,435,387,423
PIK3CG|PIK3CG,558,1481,1053,2819,11,9,12,7
PRKAR2B|PRKAR2B,44,237,184,201,833,275,368,296
DUS4L|DUS4L,92,353,264,394,0,0,0,0
LOC112533028|LOC112533028,0,4,0,0,628,322,243,198
HBP1|HBP1,486,821,590,1823,1941,718,895,748
COG5|COG5,253,739,606,948,55,45,51,46
GPR22|GPR22,8,0,0,0,0,0,0,8
SLC26A3|SLC26A3,6,5,9,13,1569,399,470,682
CBLL1|CBLL1,113,440,338,544,10,9,10,8
MIR2126|MIR2126,0,0,0,1,7800,2300,3298,2248
MIR2126,0,0,0,1,330,118,146,115
BCAP29|BCAP29,721,2882,1838,2808,4010,1729,1725,1653
DLD|DLD,1969,6051,3267,7550,0,0,0,3
LRRK2|LRRK2,110,254,175,532,2702,1105,1483,1566
LOC112533030|LOC112533030,0,8,0,4,1269,564,538,595
LAMB4|LAMB4,12,38,7,16,537,228,412,366
LAMB1|LAMB1,201,507,289,843,0,0,3,0
ERGIC2|ERGIC2,942,3564,2347,3780,4,6,0,3
SLC2A13|SLC2A13,568,2223,1033,2023,5,0,11,8
C12orf40|C12orf40,22,29,26,88,733,324,300,255
LOC107051632|LOC107051632,0,0,0,0,0,1,1,0
ABCD2|ABCD2,414,997,858,1886,0,1,1,0
LOC107051634|LOC107051634,97,370,440,467,4084,2476,2299,2354
GTSE1|GTSE1,14,28,23,71,9759,3772,3861,4747
KIF21A|KIF21A,833,2270,1700,3692,671,189,211,248
LOC107051635|LOC107051635,5,11,27,29,41,11,21,21
ALG10|ALG10,125,326,209,400,4542,2046,2416,2399
TPRKB|TPRKB,74,560,311,572,1253,638,462,361
CPNE8|CPNE8,284,567,429,1040,14,10,4,5
TRMU|TRMU,168,570,330,523,3730,1147,1297,1393
HIST1H2B5L|HIST1H2B5L,33,179,127,169,123,54,47,57
LOC107051636|LOC107051636,14,100,31,176,3,0,0,0
GRAMD4|GRAMD4,108,304,162,497,3222,1530,1485,1821
CELSR1|CELSR1,294,595,507,854,467,406,508,274
CERK|CERK,374,1161,764,1414,0,0,0,0
TBC1D22A|TBC1D22A,287,696,519,1240,5960,2413,2883,2370
LOC107049439|LOC107049439,0,0,0,0,13,5,10,0
BRD1|BRD1,267,558,592,1232,1375,678,697,880
ZBED4|ZBED4,282,643,420,1167,93,12,13,20
LOC112533147|LOC112533147,51,166,94,197,625,285,261,350
LOC107050376|LOC107050376,0,0,0,0,547,250,256,345
PIM3|PIM3,688,1432,1025,1725,688,296,383,287
LOC101748415|LOC101748415,0,0,0,0,222,109,92,59
LOC107050120|LOC107050120,0,0,0,0,613,167,131,201
MOV10L1|MOV10L1,0,26,0,50,1301,419,585,378
LOC107049700|LOC107049700,0,0,4,14,107,494,15,27
LOC112533153|LOC112533153,0,0,0,0,2306,925,946,934
PANX2|PANX2,21,76,54,89,0,7,0,0
LOC429348|LOC429348,80,118,160,61,1828,649,790,783
ALG12|ALG12,1728,6792,3503,8278,0,2,0,0
CRELD2|CRELD2,1661,11467,3907,10309,0,0,0,0
TRABD|TRABD,772,2313,1680,2618,0,0,0,0
LOC112533154|LOC112533154,0,0,0,0,0,0,0,0
SELENOO|SELENOO,556,1724,1432,2337,1538,740,836,871
MAPK12|MAPK12,32,77,86,108,1457,572,420,493
MAPK11|MAPK11,83,236,216,327,0,0,0,0
TUBGCP6|TUBGCP6,106,218,143,454,0,0,0,0
HDAC10|HDAC10,221,588,478,666,200,106,224,221
ARL8BL|ARL8BL,11,26,10,20,2220,1342,2039,2187
ZNF800|ZNF800,89,265,140,301,12037,5586,5616,6074
LOC107052593|LOC107052593,30,13,66,37,13899,6663,2843,3064
POT1|POT1,82,196,117,237,42,19,28,19
ASB15|ASB15,0,0,0,0,0,0,0,0
WASL|WASL,347,946,657,1248,71,29,19,15
LOC107051595|LOC107051595,0,0,0,8,8,0,9,5
MIR1693|MIR1693,0,0,0,0,155,137,97,52
MIR1693,0,0,0,0,3952,953,1118,1187
PLXNB2|PLXNB2,2046,4517,3043,8837,0,0,0,0
IQUB|IQUB,34,70,93,78,3825,1360,1307,1665
NDUFA5|NDUFA5,513,2366,1103,1498,136,58,140,118
SLC13A1|SLC13A1,6,0,5,21,452,128,105,168
ATP6AP1|ATP6AP1,483,1140,666,2799,579,232,298,345
LOC107052612|LOC107052612,6,2,5,33,1128,494,593,788
CADPS2|CADPS2,17,42,21,76,379,171,198,218
WNT16|WNT16,0,0,0,3,30,9,9,0
FAM3C|FAM3C,179,566,313,775,20,34,9,5
PTPRZ1|PTPRZ1,0,0,3,13,223,18,36,80
AASS|AASS,1121,3866,2164,6228,304,117,104,190
CPED1|CPED1,85,116,63,200,0,0,0,0
MIR1645,0,0,0,0,0,0,0,0
MIR1645|MIR1645,0,0,0,0,11423,4947,5428,4762
ING3|ING3,162,359,278,597,0,0,0,3
LSM8|LSM8,68,274,173,188,2064,763,869,759
LOC112533181|LOC112533181,0,0,0,0,169,68,62,61
ANKRD26|ANKRD26,72,199,128,419,1457,908,951,937
CTTNBP2|CTTNBP2,15,16,14,71,9,0,7,0
CFTR|CFTR,0,12,12,31,3134,1737,1722,1791
TSPAN12|TSPAN12,1715,4731,4040,5724,9,12,17,19
KCND2|KCND2,0,6,3,0,93,78,75,74
LOC101747342|LOC101747342,0,0,0,0,0,5,4,0
ST7|ST7,146,707,343,622,5,4,4,4
CAPZA2|CAPZA2,886,2193,1298,3563,982,464,659,594
CAV1|CAV1,9,14,12,35,8617,3292,3090,3298
CAV2|CAV2,20,46,23,77,442,137,200,320
TES|TES,43,68,52,170,0,0,0,0
LOC112533188|LOC112533188,4,3,0,5,0,0,0,0
TFEC|TFEC,11,9,0,47,653,318,353,350
MDFIC|MDFIC,92,277,115,428,239,148,180,121
MET|MET,872,1609,1357,2498,394,156,258,222
LOC112533184|LOC112533184,12,7,13,51,16,0,8,0
GPR85|GPR85,0,0,0,0,55,42,11,31
LOC107052654|LOC107052654,2,0,0,0,54,100,0,10
LOC107052650|LOC107052650,218,484,471,968,10038,5613,7222,6139
BMT2|BMT2,52,96,90,329,0,0,0,0
TMEM168|TMEM168,357,715,621,1157,1027,351,433,309
FOXP2|FOXP2,325,741,521,1249,4363,2409,1922,2173
LOC112533189|LOC112533189,0,5,0,0,56,27,17,20
ZNF277|ZNF277,56,211,122,243,21,21,16,12
IFRD1|IFRD1,698,4044,2304,4126,107,126,92,73
DOCK4|DOCK4,69,120,85,354,0,0,0,0
DNAJB9|DNAJB9,433,1944,909,2756,27,25,38,20
THAP5|THAP5,106,420,306,805,3450,1590,1981,2353
PNPLA8|PNPLA8,248,455,465,790,16,6,17,11
IMMP2L|IMMP2L,123,451,227,431,431,225,181,197
LRRN3|LRRN3,0,0,0,8,4,0,0,0
CNTN1|CNTN1,0,0,3,21,931,677,501,403
GXYLT1|GXYLT1,94,253,155,471,1670,1588,1225,804
YAF2|YAF2,113,323,300,444,0,0,0,3
PDZRN4|PDZRN4,9,0,1,10,357,166,172,189
ZCRB1|ZCRB1,136,498,398,602,1671,993,754,904
PPHLN1|PPHLN1,133,331,257,443,12,12,4,8
MIR7447,0,0,1,0,335,149,133,126
MIR7447|MIR7447,0,1,2,0,4729,2776,5095,4235
PRICKLE1|PRICKLE1,39,66,60,154,390,155,103,184
PUS7L|PUS7L,118,275,116,316,656,386,341,282
IRAK4|IRAK4,181,640,319,807,0,0,0,0
TWF1|TWF1,297,1188,627,1061,2489,963,824,576
ANO6|ANO6,3,10,0,36,814,362,359,305
LOC112533246|LOC112533246,23,50,30,107,1262,713,755,929
NELL2|NELL2,342,816,389,1110,18,15,9,0
LOC101749362|LOC101749362,90,314,218,300,23,11,8,5
ARID2|ARID2,242,557,386,828,5,4,6,10
LOC107052702|LOC107052702,0,0,0,0,482,248,224,242
SLC38A1|SLC38A1,213,321,176,801,650,341,286,280
LOC107052706|LOC107052706,0,0,0,8,216,56,76,83
SCAF11|SCAF11,858,2754,1557,3347,0,0,0,0
LOC112531641|LOC112531641,2,0,0,0,0,0,0,0
LOC101749506|LOC101749506,0,9,8,10,696,347,539,398
SLC38A2|SLC38A2,2229,8528,5231,12103,638,263,263,306
AMIGO2|AMIGO2,33,20,20,87,20,5,0,6
LOC112533249|LOC112533249,11,12,11,41,371,213,276,196
LOC112531642|LOC112531642,1,0,1,0,809,450,361,446
LRIG3|LRIG3,0,6,8,19,1550,499,525,624
SLC16A7|SLC16A7,67,116,55,375,9,9,3,0
ATP23|ATP23,397,1387,813,1333,20,20,0,15
RPAP3|RPAP3,209,600,444,703,240,60,105,111
LOC112533248|LOC112533248,0,2,0,5,2417,883,800,751
SLC38A4|SLC38A4,6078,17438,11371,22508,624,294,284,356
LOC101749586|LOC101749586,531,2427,1351,965,956,506,684,681
FAM19A2|FAM19A2,6,10,9,16,0,0,0,0
USP15|USP15,523,1290,962,2497,14,7,13,4
LOC107052719|LOC107052719,7094,21349,6939,22901,328,227,249,329
LOC107052718|LOC107052718,4107,16245,5641,16273,0,0,0,0
TMEM5|TMEM5,61,200,208,227,4236,1622,1586,1757
MON2|MON2,995,2024,1413,4419,0,0,9,0
PPM1H|PPM1H,119,303,225,623,0,0,10,10
SRGAP1|SRGAP1,68,127,68,338,12388,4776,7848,5964
C1H12ORF66|C1H12ORF66,892,3728,1840,3134,102,57,48,58
RPL18A|RPL18A,1517,11015,4231,4542,47,17,28,87
LOC112531625|LOC112531625,1,1,1,1,0,28,15,14
XPOT|XPOT,766,2495,1305,3319,291,223,133,179
TBK1|TBK1,102,771,349,948,1695,889,871,906
RASSF3|RASSF3,1650,6982,3688,9125,901,427,443,480
TBC1D30|TBC1D30,223,694,321,768,44518,18495,25246,22969
LEMD3|LEMD3,166,532,274,587,2181,2726,3225,1541
GNS|GNS,3118,7321,4955,13119,24,6,23,21
HMGA2|HMGA2,0,12,0,0,24865,5552,4875,6805
MSRB3|MSRB3,364,1244,616,1248,21574,4292,6416,6661
LLPH|LLPH,211,1167,502,654,2887,1435,1479,1587
TMBIM4|TMBIM4,174,540,404,818,1,0,0,1
HELB|HELB,421,1226,729,1575,2,0,1,2
IFNG|IFNG,4,6,3,12,6813,2394,2197,2608
GRIP1|GRIP1,0,5,6,23,11,9,0,20
CAND1|CAND1,676,1801,1061,3049,438,178,199,196
LOC112531553|LOC112531553,0,0,0,0,923,327,315,460
DYRK2|DYRK2,90,283,228,434,375,352,149,164
