gene_id	rank
ADAP1	-3.28080592839367
ADAP2	-2.14301480025409
ADAR	-3.04218159451577
ADARB1	-2.16435285578444
ADAT1	-2.80888586735981
ADAT2	-2.26245108973043
ADCK1	-2.35602585719312
ADCK2	-2.4996870826184
ADCY1	-1.23044892137827
ADCY3	-2.49276038902684
ADCY5	-2.25767857486918
ADCY7	-2.48995847942483
ADCY9	-2.92788341033071
ADD1	-3.11494441571258
ADD2	-1.69019608002851
ADD3	-2.96094619573383
ADGB	-0.477121254719662
ADGRA1L	-1.91907809237607
ADGRA2	-2.50105926221775
ADGRA3L	-2.26717172840301
ADGRB2	-1.34242268082221
ADGRB3	-0.845098040014257
ADGRD1	-0.602059991327962
ADGRD2	-1.25527250510331
ADGRF4	-1.7160033436348
ADGRF5	-2.06818586174616
ADGRG1	-2.31386722036915
ADGRG2	-2.25527250510331
ADGRG3	-1.20411998265592
ADGRG5	-1.66275783168157
ADGRG6	-2.56466606425209
ADGRG7	-0.778151250383644
ADGRL2	-3.11892575282578
ADGRL3	-2.25767857486918
ADGRL4	-2.60852603357719
ADH1C	-4.86586169924427
ADH1L	-3.70122248425656
ADH5	-3.84441504047382
ADH6	-4.21186776065666
ADHFE1	-3.54543082946535
ADI1	-3.8483738838446
ADIPOQ	-1.43136376415899
ADIPOR1	-2.63648789635337
ADIPOR2	-3.648164778574
ADK	-4.15929642668839
ADM	-1.94448267215017
ADNP	-3.39497671955456
ADNP2	-2.84073323461181
ADO	-2.51454775266029
ADORA1	-0.845098040014257
ADORA2A	-2.60314437262018
ADORA2B	-1.84509804001426
ADORA3	-1.5910646070265
ADPGK	-2.5705429398819
ADPRH	-2.64048143697042
ADPRHL	-2.33243845991561
ADPRHL1	-1.61278385671974
ADPRHL2	-2.99211148778695
ADPRM	-2.07918124604762
ADRA1B	-3.87192303188237
ADRA1D	-1.07918124604762
ADRA2A	-1.11394335230684
ADRA2B	-1.20411998265592
ADRA2BL2	-0.301029995663981
ADRA2C	-1.55630250076729
ADRB1	-2.28103336724773
ADRB2	-2.88874096068289
ADRM1	-3.20709554041922
ADSL	-4.03909671044145
ADSS	-2.4996870826184
ADSSL1	-2.89486965674525
AEBP1	-2.29225607135648
AEBP2	-2.70500795933334
AEN	-2.2148438480477
AES	-3.24748226067705
AFAP1	-1.39794000867204
AFAP1L1	-2.32837960343874
AFAP1L2	-2.44404479591808
AFDN	-3.15320490008428
AFF1	-3.02816441942447
AFF2	-2.70586371228392
AFF4	-3.45499721730946
AFG1L	-2.76342799356294
AFG3L2	-3.22297644989339
AFMID	-3.71525102887885
AFP	-0.698970004336019
AFTPH	-3.07224989761351
AGA	-3.46523409498801
AGAP1	-3.32345836684947
AGAP3	-3.0386201619497
AGBL2	-0.778151250383644
AGBL4	-2.54282542695918
AGBL5	-2.13353890837022
AGFG1	-3.3773062510682
AGGF1	-2.40483371661994
AGK	-2.48000694295715
AGL	-3.6353832040475
AGMAT	-3.66763970605641
AGMO	-3.9166644645414
AGO1	-3.15533603746506
AGO3	-3.25983269906348
AGO4	-3.09447112864164
AGPAT2	-4.40341224160453
AGPAT3	-3.76797172138162
AGPAT4	-3.18780263871842
AGPAT5	-2.75204844781944
AGPAT9L	-1.98227123303957
AGPS	-2.92941892571429
AGR2	-1.64345267648619
AGRN	-3.44575983648863
AGT	-4.37329827961487
AGTPBP1	-1.75587485567249
AGTR1	-1.20411998265592
AGTR2	-0.698970004336019
AGTRAP	-1.85125834871908
AGXT	-3.52853106063541
AGXT2	-2.80821097292422
AHCTF1	-3.08314414314305
AHCY	-4.32766538705004
AHCYL1	-3.35140975192544
AHCYL2	-2.70671778233676
AHDC1	-0.698970004336019
AHI1	-1.90308998699194
AHNAK2	-1.46239799789896
AHR	-3.09061070782841
AHR1B	-1.76342799356294
AHR2	-2.71850168886727
AHRR	-1.25527250510331
AHSA1	-3.20411998265592
AHSA2	-3.11793383503964
AHSG	-5.23484869885176
AICDA	-0.602059991327962
AIDA	-2.54900326202579
AIFM1	-3.22711508258913
AIFM2	-2.41830129131975
AIFM3	-0.477121254719662
AIG1	-3.16643011384328
AIM1	-0.602059991327962
AIM1L	-0.602059991327962
AIMP1	-2.80685802951882
AIMP2	-2.94497590841205
AIP	-2.20411998265592
AIPL1	-1.30102999566398
AK1	-1.51851393987789
AK2	-3.46029632675748
AK3	-3.67742443770125
AK4	-3.81023251799508
AK6	-2.32428245529769
AK7	-1.66275783168157
AKAP1	-3.45147940512486
AKAP10	-2.90200289135073
AKAP11	-2.79448804665917
AKAP12	-2.13672056715641
AKAP13	-2.63245729218472
AKAP17A	-2.89542254603941
AKAP2	-2.55266821611219
AKAP5	-1.90848501887865
AKAP6	-1.95424250943932
AKAP7	-2.20951501454263
AKAP8L	-2.91592721169712
AKAP9	-3.2771506139638
AKIP1	-1.69019608002851
AKIRIN2	-2.96189547366785
AKNA	-2.08635983067475
AKNAD1	-0.698970004336019
AKR1A1	-3.45833562599195
AKR1B10L1	-2.68394713075151
AKR1B10L2	-0.778151250383644
AKR1B10L3	-3.59228781595213
AKR1B10L4	-2.6159500516564
AKR1B1L	-2.66275783168157
AKR1D1	-3.33725953975028
AKR1E2	-2.85308952985187
AKR7A2	-3.95770304154883
AKT1	-3.05346260492546
AKT3	-1.63346845557959
AKTIP	-2.89042101880091
ALAD	-2.93751789201735
ALAS1	-3.28847280059978
ALB	-6.45249392774976
ALCAM	-2.39093510710338
ALDH18A1	-3.27253777737524
ALDH1A1	-4.01148585999941
ALDH1A2	-2.19033169817029
ALDH1A3	-1.9731278535997
ALDH1L2	-2.03342375548695
ALDH3A2	-4.05690485133647
ALDH3B1L1	-1.17609125905568
ALDH3B1L2	-1.55630250076729
ALDH4A1	-3.72279839687091
ALDH5A1	-3.94061608233741
ALDH6A1	-4.13741741499039
ALDH7A1	-4.07849306816657
ALDH8A1	-3.67541169371486
ALDH9A1	-4.44451320633404
ALDOB	-4.96448120060062
ALDOC	-2.47567118832443
ALG1	-2.75204844781944
ALG10	-2.50379068305718
ALG11	-2.40654018043396
ALG12	-3.78979216773068
ALG13	-1.94448267215017
ALG14	-2.26717172840301
ALG2	-2.83442070368153
ALG3	-2.53147891704225
ALG5	-2.9216864754836
ALG6	-2.59217675739587
ALG8	-2.56110138364906
ALG9	-2.87563993700417
ALK	-1.54406804435028
ALKBH1	-2.54654266347813
ALKBH2	-2.03342375548695
ALKBH3	-2.26007138798507
ALKBH4	-1.94939000664491
ALKBH5	-3.26481782300954
ALKBH8	-2.06069784035361
ALMS1	-2.38738982633873
ALOX15B	-0.602059991327962
ALOX5	-2.22271647114758
ALOX5AP	-2.13672056715641
ALPI	-2.02118929906994
ALPK1	-1.57978359661681
ALPK2	-1.75587485567249
ALPK3	-2.19312459835446
ALPL	-2.65127801399814
ALPP	-1.67209785793572
ALS2	-3.03622954408629
ALS2CL	-2.56702636615906
ALYREF	-2.81224469680037
AMACR	-3.26599637049508
AMBP	-4.68011785830715
AMBRA1	-3.02489596010748
AMD1	-3.23172438332852
AMDHD1	-3.64855515566267
AMDHD2	-2.61172330800734
AMER1	-2.54282542695918
AMER2	-1.34242268082221
AMFR	-3.59406090127042
AMH	-1.14612803567824
AMHR2	-1.46239799789896
AMIGO2	-1.76342799356294
AMIGO3	-1.39794000867204
AMMECR1	-2.91169015875386
AMMECR1L	-2.99738638439731
AMN	-2.31597034545692
AMN1	-2.19033169817029
AMOT	-2.61066016308988
AMOTL1	-2.07188200730613
AMOTL2	-2.17897694729317
AMPD2	-2.6954816764902
AMPD3	-1.81954393554187
AMPH	-0.903089986991944
AMT	-3.38667728396084
AMY1A	-4.08972853307474
AMY1AP	-2.39093510710338
AMY2A	-2.18184358794477
AN1ZNF5L	-3.51441492058037
ANAPC1	-2.76417613239033
ANAPC10	-2.25767857486918
ANAPC11	-1.93951925261862
