"genes","logFC","logCPM","PValue","FDR"
"PAQR5",8.044394215,-1.053668392,8.61897192887772e-15,1.41287174250526e-14
"LOC112530162",4.634858499,1.636500544,8.64100179450305e-15,1.41633369773925e-14
"LOC112530017",-3.763133524,1.556866134,8.66192940857305e-15,1.41961427385446e-14
"MXD3",8.394936927,-0.7458051,8.67339119149816e-15,1.42134295529346e-14
"DDHD2",-2.32909919,4.974782408,8.69918047013133e-15,1.42541892845671e-14
"C1HXORF59",-9.025301734,-0.340199903,8.7215460907368e-15,1.42893311253774e-14
"SP8",-8.893730345,-0.463569415,8.97312507581671e-15,1.46999678601928e-14
"ADPRHL1",6.087133372,-0.166087888,8.9964425036882e-15,1.47366144456285e-14
"RPS16",2.15601223,7.336130803,9.02584544393503e-15,1.47832206291542e-14
"TNS4",-3.354395665,0.731138631,9.08121599594721e-15,1.48723442587656e-14
"NXPE3",-1.975778698,4.149509545,9.16876693153684e-15,1.50141455123629e-14
"LOC112530939",-3.932103789,1.51346262,9.2384682578122e-15,1.51266906822133e-14
"SEMA3F",3.73259647,0.316163702,9.25984574849119e-15,1.51592092723131e-14
"UNKL",-2.20479062,6.113516232,9.26027838441817e-15,1.51592092723131e-14
"EPB41L1",-2.526965131,3.231503453,9.44496059271238e-15,1.54599091807029e-14
"PLCH1",8.133840079,-0.984889693,9.61744572227926e-15,1.5740583199815e-14
"LOC107054596",-3.955634189,1.25796663,9.65359047216367e-15,1.57980774407646e-14
"COLQ",10.33341867,1.061467582,9.68415200196212e-15,1.58464236168064e-14
"PSCA",-3.312009202,3.707488157,9.69906200949676e-15,1.58691513307738e-14
"CEP170B",2.1771378,4.019350051,9.76273955417964e-15,1.59716570297205e-14
"OLFM1",8.310709306,-0.828166062,9.85235887046204e-15,1.61165769446334e-14
"PIK3R5",-3.008417846,4.972583053,9.86275041748278e-15,1.61318785097147e-14
"MIR458.1",-8.633270321,-0.718950295,9.8762426336652e-15,1.61522478916169e-14
"PIK3AP1",2.55122782,4.009744415,9.96924977384836e-15,1.63026431783933e-14
"NFATC1",-2.286804758,2.215087674,1.00880117272519e-14,1.64951190703226e-14
"VEZF1",3.202848793,3.653786293,1.01009575227969e-14,1.65145504657231e-14
"LOC112532514",-1.76634788,4.843006117,1.02149286875013e-14,1.66991317378728e-14
"LOC107052572",-8.443382776,-0.87404831,1.02189241377154e-14,1.67039073206638e-14
"BTF3",2.69336699,4.649036275,1.03264430425711e-14,1.68778840983792e-14
"MIR1576",-8.924548584,-0.402866019,1.03571721170457e-14,1.69263296290133e-14
"IGSF1L7",-4.439058789,2.322492312,1.05206722852533e-14,1.71917248881556e-14
"UAP1",3.326210248,4.150103493,1.05776592764887e-14,1.72830305505306e-14
"CCR5",9.52473805,0.297295408,1.0717413580568e-14,1.75095378417559e-14
"LOC101748700",-3.023104702,2.900589731,1.07469782158084e-14,1.7555994459063e-14
"TMEM206",-1.87600088,5.017292683,1.10315441904783e-14,1.80189613615481e-14
"BEST2",-2.876476481,1.737536892,1.14282943444432e-14,1.86650537817553e-14
"CNOT1",1.988165108,5.855117713,1.14315472309948e-14,1.86684057384971e-14
"DOCK4",4.529555292,0.924465103,1.14914795200377e-14,1.87643081525345e-14
"SF3B3",2.719402567,5.737339889,1.15115603366314e-14,1.87951242371502e-14
"C16orf71",-1.94483634,3.331920529,1.16464551285919e-14,1.9013372939591e-14
"SLC25A32",-2.094800756,4.193788775,1.16830762693959e-14,1.90711564128811e-14
"NUBP2",-1.775455602,5.524493153,1.18180890596808e-14,1.92895229220149e-14
"MIR17",-11.78448587,2.431649996,1.18566983503058e-14,1.93505100070587e-14
"ITGB3BP",-2.82896164,2.414141648,1.20846353704024e-14,1.97204407608099e-14
"YLPM1",3.960504319,3.840483603,1.21140118399618e-14,1.97663047336208e-14
"LIPI",2.01926231,4.840476566,1.22317426681953e-14,1.99563108268217e-14
"CECR1",-2.515267129,6.82304529,1.22633929245135e-14,2.00058497667e-14
"UHRF1",2.833869926,2.272604862,1.22886017047353e-14,2.00448711327634e-14
"LOC101751669",1.891137559,3.42567725,1.2316422201882e-14,2.00881440360042e-14
"KIAA1143",4.557547953,2.939547295,1.24114157434755e-14,2.02409559319397e-14
"RNF185",2.066788955,5.35387997,1.26670507724885e-14,2.06556878683092e-14
"LOC112533500",-9.262854177,-0.074064721,1.26694892659724e-14,2.06574979643359e-14
"LOC107050599",1.735244754,4.853222738,1.2813856593537e-14,2.08906972142483e-14
"SKIL",3.186495519,2.415940123,1.28841064619159e-14,2.10030250008168e-14
"MRPS25",-2.184431637,6.699536441,1.29447820239879e-14,2.10997233200222e-14
"TCERG1",-1.72452212,7.072838348,1.29952522816236e-14,2.1179768680353e-14
"NOL10",-1.917748557,4.687258232,1.31654431549111e-14,2.14548984551318e-14
"ZSWIM5",2.057230167,4.017547844,1.31732632833354e-14,2.14653928592545e-14
"CERS6",-4.556818427,4.853066019,1.32983396287684e-14,2.16669301369811e-14
"EDEM2",3.543862921,3.720336774,1.34449663469625e-14,2.19035334410967e-14
"LOC423110",2.482613609,2.479335134,1.35373855263282e-14,2.20517855577628e-14
"LOC107052556",4.477553523,0.494578891,1.38179771570185e-14,2.25064988783531e-14
"TMEM26",8.24739275,-0.874320904,1.39077985234233e-14,2.26504259571882e-14
"LOC107055191",-7.962877851,-1.338382935,1.41850401180576e-14,2.30995260064714e-14
"NKIRAS2",1.772464463,4.468320921,1.44422367651415e-14,2.35158933715131e-14
"LOC112530985",-3.415274081,0.909972826,1.44802572046569e-14,2.35753323769674e-14
"LOC112532076",-5.633979873,2.56637113,1.48360014042711e-14,2.41519913982847e-14
"ADAMTSL5",-3.61863984,0.848425322,1.51499349176083e-14,2.46604718903809e-14
