gene_id,CN_2w_2,CN_2w_1,CN_4w_1,HT_3hr_1,HT_3hr_2,HT_3hr_4
LOC107051630|LOC107051630,0,0,9,0,0,0
SYPL1|SYPL1,325,1145,1283,66,19,41
NAMPT|NAMPT,1209,3878,5291,1293,435,423
PIK3CG|PIK3CG,558,1481,2819,11,9,7
PRKAR2B|PRKAR2B,44,237,201,833,275,296
DUS4L|DUS4L,92,353,394,0,0,0
LOC112533028|LOC112533028,0,4,0,628,322,198
HBP1|HBP1,486,821,1823,1941,718,748
COG5|COG5,253,739,948,55,45,46
GPR22|GPR22,8,0,0,0,0,8
SLC26A3|SLC26A3,6,5,13,1569,399,682
CBLL1|CBLL1,113,440,544,10,9,8
MIR2126|MIR2126,0,0,1,7800,2300,2248
MIR2126,0,0,1,330,118,115
BCAP29|BCAP29,721,2882,2808,4010,1729,1653
DLD|DLD,1969,6051,7550,0,0,3
LRRK2|LRRK2,110,254,532,2702,1105,1566
LOC112533030|LOC112533030,0,8,4,1269,564,595
LAMB4|LAMB4,12,38,16,537,228,366
LAMB1|LAMB1,201,507,843,0,0,0
ERGIC2|ERGIC2,942,3564,3780,4,6,3
SLC2A13|SLC2A13,568,2223,2023,5,0,8
C12orf40|C12orf40,22,29,88,733,324,255
LOC107051632|LOC107051632,0,0,0,0,1,0
ABCD2|ABCD2,414,997,1886,0,1,0
LOC107051634|LOC107051634,97,370,467,4084,2476,2354
GTSE1|GTSE1,14,28,71,9759,3772,4747
KIF21A|KIF21A,833,2270,3692,671,189,248
LOC107051635|LOC107051635,5,11,29,41,11,21
ALG10|ALG10,125,326,400,4542,2046,2399
TPRKB|TPRKB,74,560,572,1253,638,361
CPNE8|CPNE8,284,567,1040,14,10,5
TRMU|TRMU,168,570,523,3730,1147,1393
HIST1H2B5L|HIST1H2B5L,33,179,169,123,54,57
LOC107051636|LOC107051636,14,100,176,3,0,0
GRAMD4|GRAMD4,108,304,497,3222,1530,1821
CELSR1|CELSR1,294,595,854,467,406,274
CERK|CERK,374,1161,1414,0,0,0
TBC1D22A|TBC1D22A,287,696,1240,5960,2413,2370
